"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.423,0.375,0.547,0.333,0.416,0.539,0.467,0.468,0.493,0.419
"P04","Realizo changas o trabajos de vez en cuando",0.216,0.151,0.134,0.271,0.251,0.123,0.248,0.232,0.213,0.223
"P04","No tengo trabajo",0.141,0.157,0.114,0.26,0.148,0.137,0.107,0.228,0.137,0.221
"P04","Soy jubilado o pensionado",0.22,0.317,0.205,0.136,0.185,0.201,0.178,0.072,0.157,0.137
"P05","1",0.321,0.424,0.293,0.254,0.22,0.144,0.203,0.351,0.206,0.257
"P05","2",0.068,0.08,0.045,0.03,0.102,0.044,0.077,0.091,0.035,0.086
"P05","3",0.044,0.089,0.047,0.09,0.031,0.022,0.042,0.081,0.036,0.043
"P05","4",0.108,0.107,0.096,0.044,0.045,0.046,0.049,0.065,0.059,0.046
"P05","5",0.24,0.18,0.294,0.207,0.168,0.11,0.178,0.192,0.088,0.257
"P05","6",0.049,0.028,0.072,0.047,0.086,0.047,0.06,0.041,0.013,0.058
"P05","7",0.038,0.024,0.042,0.053,0.099,0.187,0.106,0.021,0.046,0.036
"P05","8",0.018,0.024,0.025,0.04,0.054,0.127,0.054,0.033,0.087,0.058
"P05","9",0.114,0.044,0.086,0.235,0.195,0.273,0.231,0.125,0.43,0.159
"P06","1",0.185,0.17,0.198,0.419,0.325,0.504,0.417,0.134,0.322,0.267
"P06","2",0.041,0.033,0.035,0.029,0.086,0.075,0.123,0.066,0.083,0.029
"P06","3",0.028,0.031,0.055,0.045,0.058,0.079,0.069,0.037,0.035,0.049
"P06","4",0.028,0.034,0.065,0.063,0.048,0.04,0.058,0.031,0.055,0.046
"P06","5",0.237,0.174,0.232,0.182,0.228,0.117,0.146,0.176,0.146,0.278
"P06","6",0.069,0.059,0.081,0.023,0.038,0.01,0.019,0.044,0.066,0.042
"P06","7",0.108,0.092,0.056,0.021,0.06,0.046,0.037,0.066,0.021,0.037
"P06","8",0.06,0.081,0.022,0.014,0.031,0.017,0.03,0.077,0.035,0.029
"P06","9",0.244,0.326,0.256,0.204,0.126,0.112,0.101,0.369,0.237,0.223
"P07","1",0.312,0.235,0.371,0.32,0.457,0.729,0.475,0.21,0.547,0.384
"P07","2",0.046,0.026,0.018,0.015,0.038,0.036,0.025,0.031,0.046,0.035
"P07","3",0.034,0.033,0.026,0.009,0.036,0.04,0.062,0.03,0.066,0.037
"P07","4",0.04,0.019,0.044,0.029,0.024,0.011,0.024,0.01,0.033,0.019
"P07","5",0.109,0.142,0.156,0.066,0.15,0.058,0.042,0.136,0.095,0.13
"P07","6",0.017,0.028,0.031,0.044,0.021,0.005,0.028,0.038,0.013,0.022
"P07","7",0.043,0.046,0.024,0.013,0.01,0.004,0.02,0.043,0,0.033
"P07","8",0.023,0.045,0.023,0.025,0.02,0.007,0.033,0.055,0.005,0.021
"P07","9",0.376,0.426,0.307,0.479,0.244,0.11,0.291,0.447,0.195,0.319
"P09","Del Frente de Todos y el peronismo",0.067,0.027,0.102,0.633,0.707,0.859,0.8,0.02,0.297,0.226
"P09","De Juntos por el cambio",0.742,0.771,0.369,0.109,0.031,0.035,0.037,0.068,0.034,0.072
"P09","De los Liberales libertarios",0.036,0.115,0.145,0.044,0.059,0.029,0.028,0.772,0.005,0.073
"P09","De la Izquierda",0.011,0.015,0.058,0.022,0.021,0.028,0.013,0.031,0.587,0.059
"P09","No sabe",0.144,0.072,0.326,0.192,0.182,0.049,0.122,0.109,0.077,0.57
