"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.53,0.419,0.445
"P04","Realizo changas o trabajos de vez en cuando",0.138,0.163,0.216
"P04","No tengo trabajo",0.131,0.181,0.19
"P04","Soy jubilado o pensionado",0.201,0.237,0.149
"P05","1",0.21,0.368,0.329
"P05","2",0.061,0.086,0.07
"P05","3",0.025,0.094,0.081
"P05","4",0.052,0.104,0.087
"P05","5",0.166,0.221,0.167
"P05","6",0.071,0.039,0.025
"P05","7",0.139,0.027,0.043
"P05","8",0.086,0.015,0.054
"P05","9",0.19,0.046,0.144
"P06","1",0.393,0.148,0.245
"P06","2",0.092,0.031,0.035
"P06","3",0.074,0.041,0.056
"P06","4",0.078,0.032,0.061
"P06","5",0.186,0.199,0.148
"P06","6",0.018,0.076,0.036
"P06","7",0.037,0.097,0.061
"P06","8",0.015,0.105,0.073
"P06","9",0.107,0.271,0.285
"P07","1",0.577,0.203,0.312
"P07","2",0.043,0.029,0.019
"P07","3",0.042,0.049,0.038
"P07","4",0.028,0.03,0.012
"P07","5",0.084,0.142,0.103
"P07","6",0.02,0.04,0.023
"P07","7",0.013,0.055,0.035
"P07","8",0.013,0.053,0.053
"P07","9",0.18,0.399,0.405
"P09","Del Frente de Todos y el peronismo",0.809,0.027,0.182
"P09","De Juntos por el cambio",0.067,0.684,0.213
"P09","De los Liberales libertarios",0.015,0.212,0.353
"P09","De la Izquierda",0.021,0.011,0.045
"P09","No sabe",0.088,0.066,0.207
"P10","A Alberto Fernández",0.068,0.325,0.223
"P10","A Sergio Massa",0.265,0.084,0.108
"P10","A algún candidato del peronismo",0.172,0.572,0.187
"P10","A algún candidato del kirchnerismo",0.495,0.019,0.482
"P11","A Alberto Fernández",0.052,0.176,0.137
"P11","A Sergio Massa",0.157,0.147,0.087
"P11","A algún candidato del peronismo",0.112,0.563,0.109
"P11","A Cristina Fernández de Kirchner",0.679,0.114,0.667
"P12","A Horacio Rodriguez Larreta",0.074,0.278,0.229
"P12","A Patricia Bullrich",0.631,0.649,0.66
"P12","A Facundo Manes",0.157,0.037,0.024
"P12","A Gerardo Morales",0.138,0.036,0.087
"P13","Lo votaría",0.309,0.027,0.029
"P13","Puede que lo vote",0.47,0.097,0.111
"P13","Nunca lo votaría",0.081,0.851,0.721
"P13","No sabe",0.14,0.025,0.139
"P14","Lo votaría",0.21,0.011,0.037
"P14","Puede que lo vote",0.389,0.034,0.05
"P14","Nunca lo votaría",0.273,0.949,0.797
"P14","No sabe",0.128,0.006,0.116
"P15","Lo votaría",0.036,0.278,0.012
"P15","Puede que lo vote",0.118,0.46,0.131
"P15","Nunca lo votaría",0.821,0.238,0.762
"P15","No sabe",0.025,0.024,0.095
"P16","Lo votaría",0.029,0.135,0.031
"P16","Puede que lo vote",0.152,0.348,0.141
"P16","Nunca lo votaría",0.676,0.43,0.693
"P16","No sabe",0.143,0.087,0.135
"P17","La votaría",0.053,0.571,0.202
"P17","Puede que la vote",0.033,0.229,0.217
"P17","Nunca la votaría",0.882,0.18,0.483
"P17","No sabe",0.032,0.02,0.098
"P18","Lo votaría",0.022,0.254,0.343
"P18","Puede que lo vote",0.075,0.305,0.172
"P18","Nunca lo votaría",0.887,0.384,0.402
"P18","No sabe",0.016,0.057,0.083
"P19","La votaría",0.032,0.23,0.082
"P19","Puede que la vote",0.081,0.372,0.145
"P19","Nunca la votaría",0.856,0.331,0.692
"P19","No sabe",0.031,0.067,0.081
"P20","Lo votaría",0.319,0.038,0.062
"P20","Puede que lo vote",0.328,0.061,0.108
"P20","Nunca lo votaría",0.284,0.84,0.707
"P20","No sabe",0.069,0.061,0.123
"P21","Lo votaría",0.29,0.019,0.057
"P21","Puede que lo vote",0.431,0.045,0.112
"P21","Nunca lo votaría",0.202,0.919,0.752
"P21","No sabe",0.077,0.017,0.079
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.163,0.012
"P22","Patricia Bullrich por Juntos por el Cambio",0.045,0.533,0.232
"P22","Facundo Manes por Juntos por el Cambio",0.022,0.075,0.059
"P22","Alberto Fernández por el Frente de Todos",0.084,0.006,0.053
"P22","Sergio Massa por el Frente de Todos",0.241,0.005,0.013
"P22","Wado de Pedro por el Frente de Todos",0.337,0.009,0.081
"P22","Daniel Scioli por el Frente de Todos",0.182,0.007,0.051
"P22","Javier Milei por los liberales libertarios",0.012,0.174,0.341
"P22","Al candidato del Frente de Izquierda",0.019,0.003,0.031
"P22","No sabe",0.052,0.025,0.127
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.152,0.026
"P23","Patricia Bullrich por Juntos por el Cambio",0.035,0.495,0.216
"P23","María Eugenia Vidal por Juntos por el Cambio",0.018,0.094,0.027
"P23","Facundo Manes por Juntos por el Cambio",0.027,0.065,0.041
"P23","Sergio Massa por el Frente de Todos",0.31,0.007,0.016
"P23","Wado de Pedro por el Frente de Todos",0.346,0.008,0.086
"P23","Daniel Scioli por el Frente de Todos",0.178,0.008,0.067
"P23","Javier Milei por los liberales libertarios",0.02,0.154,0.367
"P23","Al candidato del Frente de Izquierda",0.03,0,0.03
"P23","No sabe",0.033,0.017,0.124
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.146,0.017
"P24","Patricia Bullrich por Juntos por el Cambio",0.041,0.495,0.227
"P24","María Eugenia Vidal por Juntos por el Cambio",0.006,0.096,0.023
"P24","Facundo Manes por Juntos por el Cambio",0.023,0.066,0.05
"P24","Sergio Massa por el Frente de Todos",0.313,0.003,0.02
"P24","Wado de Pedro por el Frente de Todos",0.379,0.008,0.102
"P24","Alberto Fernández por el Frente de Todos",0.139,0.002,0.058
"P24","Javier Milei por los liberales libertarios",0.018,0.165,0.354
"P24","Al candidato del Frente de Izquierda",0.021,0.001,0.03
"P24","No sabe",0.053,0.018,0.119
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.159,0.041
"P25","Patricia Bullrich por Juntos por el Cambio",0.04,0.431,0.17
"P25","Facundo Manes por Juntos por el Cambio",0.014,0.16,0.085
"P25","Sergio Massa por el Frente de Todos",0.256,0.01,0.021
"P25","Wado de Pedro por el Frente de Todos",0.36,0.01,0.087
"P25","Daniel Scioli por el Frente de Todos",0.231,0.008,0.082
"P25","Javier Milei por los liberales libertario",0.039,0.131,0.2
"P25","Al candidato del Frente de Izquierda",0.021,0.071,0.195
"P25","No sabe",0.031,0.02,0.119
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.225,0.021
"P26","Patricia Bulrich por Juntos por el Cambio",0.065,0.543,0.206
"P26","Alberto Fernández por el Frente de Todos",0.175,0.008,0.066
"P26","Sergio Massa por el Frente de Todos",0.57,0.009,0.027
"P26","Javier Milei por los liberales libertarios",0.038,0.167,0.372
"P26","Al candidato del Frente de Izquierda",0.065,0.014,0.066
"P26","No sabe",0.079,0.034,0.242
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.228,0.021
"P27","Patricia Bullrich por Juntos por el Cambio",0.044,0.562,0.217
"P27","Wado de Pedro por el Frente de Todos",0.383,0.005,0.1
"P27","Sergio Massa por el Frente de Todos",0.423,0.004,0.028
"P27","Javier Milei por los liberales libertarios",0.037,0.169,0.393
"P27","Al candidato del Frente de Izquierda",0.044,0.012,0.053
"P27","No sabe",0.054,0.02,0.188
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.226,0.017
"P28","Patricia Bullrich por Juntos por el Cambio",0.05,0.55,0.223
"P28","Wado de Pedro por el Frente de Todos",0.412,0.008,0.081
"P28","Daniel Scioli por el Frente de Todos",0.342,0.007,0.07
"P28","Javier Milei por los liberales libertarios",0.043,0.175,0.397
"P28","Al candidato del Frente de Izquierda",0.047,0.01,0.047
"P28","No sabe",0.086,0.024,0.165
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.009,0.295,0.056
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.048,0.471,0.17
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.352,0.017,0.032
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.447,0.005,0.084
"P29","Javier Milei presidente y su candidato a vice",0.03,0.176,0.404
"P29","A los candidatos de la izquierda",0.043,0.008,0.044
"P29","No sabe",0.071,0.028,0.21
"P30","Alberto Fernández por el Frente de Todos",0.643,0.027,0.08
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.539,0.049
"P30","Javier Milei por los liberales libertarios",0.061,0.307,0.46
"P30","Al candidato del Frente de Izquierda",0.064,0.017,0.07
"P30","No sabe",0.193,0.11,0.341
"P31","Sergio Massa por el Frente de Todos",0.775,0.007,0.023
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.597,0.044
"P31","Javier Milei por los liberales libertarios",0.05,0.303,0.471
"P31","Al candidato del Frente de Izquierda",0.048,0.017,0.078
"P31","No sabe",0.108,0.076,0.384
"P32","Wado de Pedro por el Frente de Todos",0.711,0.01,0.11
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.609,0.045
"P32","Javier Milei por los liberales libertarios",0.054,0.3,0.466
"P32","Al candidato del Frente de Izquierda",0.042,0.013,0.043
"P32","No sabe",0.152,0.068,0.336
"P33","Daniel Scioli por el Frente de Todos",0.746,0.015,0.097
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.628,0.033
"P33","Javier Milei por los liberales libertarios",0.047,0.297,0.47
"P33","Al candidato del Frente de Izquierda",0.049,0.014,0.062
"P33","No sabe",0.123,0.046,0.338
"P34","Sergio Massa por el Frente de Todos",0.805,0.019,0.025
"P34","Patricia Bullrich por Juntos por el Cambio",0.053,0.708,0.211
"P34","Javier Milei por los liberales libertarios",0.02,0.2,0.395
"P34","Al candidato del Frente de Izquierda",0.04,0.015,0.075
"P34","No sabe",0.082,0.058,0.294
"P35","Alberto Fernández por el Frente de Todos",0.709,0.011,0.076
"P35","Patricia Bullrich por Juntos por el Cambio",0.045,0.722,0.227
"P35","Javier Milei por los liberales libertarios",0.046,0.194,0.378
"P35","Al candidato del Frente de Izquierda",0.074,0.018,0.074
"P35","No sabe",0.126,0.055,0.245
"P36","Wado de Pedro por el Frente de Todos",0.702,0.01,0.088
"P36","Patricia Bullrich por Juntos por el Cambio",0.049,0.726,0.241
"P36","Javier Milei por los liberales libertarios",0.047,0.189,0.377
"P36","Al candidato del Frente de Izquierda",0.046,0.026,0.055
"P36","No sabe",0.156,0.049,0.239
"P37","Daniel Scioli por el Frente de Todos",0.747,0.019,0.103
"P37","Patricia Bullrich por Juntos por el Cambio",0.047,0.717,0.244
"P37","Javier Milei por los liberales libertarios",0.036,0.195,0.373
"P37","Al candidato del Frente de Izquierda",0.046,0.017,0.054
"P37","No sabe",0.124,0.052,0.226
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.118,0.517,0.032
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.645,0.09,0.048
"P38","Javier Milei presidente y su candidato a vice",0.051,0.296,0.454
"P38","A los candidatos de la izquierda",0.061,0.021,0.08
"P38","No sabe",0.125,0.076,0.386
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.053,0.654,0.185
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.709,0.042,0.031
"P39","Javier Milei presidente y su candidato a vice",0.029,0.216,0.383
"P39","A los candidatos de la izquierda",0.064,0.018,0.074
"P39","No sabe",0.145,0.07,0.327
"P41","Alberto Fernández por el Frente de Todos",0.786,0.017,0.09
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.062,0.96,0.067
"P41","No sabe",0.152,0.023,0.843
"P42","Sergio Massa por el Frente de Todos",0.912,0.023,0.044
"P42","Patricia Bullrich por Juntos por el Cambio",0.059,0.899,0.396
"P42","No sabe",0.029,0.078,0.56
"P43","Alberto Fernández por el Frente de Todos",0.8,0.011,0.118
"P43","Patricia Bullrich por Juntos por el Cambio",0.055,0.9,0.41
"P43","No sabe",0.145,0.089,0.472
"P44","Wado de Pedro por el Frente de Todos",0.763,0.015,0.127
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.073,0.935,0.132
"P44","No sabe",0.164,0.05,0.741
"P45","Daniel Scioli por el Frente de Todos",0.806,0.013,0.131
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.953,0.092
"P45","No sabe",0.145,0.034,0.777
"P46","Wado de Pedro por el Frente de Todos",0.752,0.02,0.143
