"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.24,0.528,0.474,0.539
"P04","Realizo changas o trabajos de vez en cuando",0.348,0.206,0.196,0.137
"P04","No tengo trabajo",0.257,0.111,0.157,0.102
"P04","Soy jubilado o pensionado",0.155,0.155,0.173,0.222
"P05","1",0.365,0.281,0.213,0.147
"P05","2",0.103,0.088,0.103,0.061
"P05","3",0.036,0.024,0.025,0.031
"P05","4",0.032,0.04,0.063,0.028
"P05","5",0.169,0.213,0.17,0.144
"P05","6",0.006,0.088,0.088,0.064
"P05","7",0.031,0.075,0.081,0.155
"P05","8",0.027,0.018,0.053,0.113
"P05","9",0.231,0.173,0.204,0.257
"P06","1",0.491,0.304,0.327,0.466
"P06","2",0.039,0.108,0.058,0.091
"P06","3",0.032,0.07,0.067,0.083
"P06","4",0.03,0.049,0.071,0.04
"P06","5",0.139,0.255,0.183,0.15
"P06","6",0.038,0.058,0.031,0.014
"P06","7",0.013,0.011,0.025,0.042
"P06","8",0,0.03,0.038,0.021
"P06","9",0.218,0.115,0.2,0.093
"P07","1",0.287,0.49,0.429,0.644
"P07","2",0.028,0.063,0.034,0.034
"P07","3",0.03,0.043,0.037,0.043
"P07","4",0.007,0.038,0.007,0.022
"P07","5",0.059,0.096,0.098,0.073
"P07","6",0.028,0.024,0.037,0.016
"P07","7",0.023,0.05,0.034,0.003
"P07","8",0.022,0.016,0.003,0.01
"P07","9",0.516,0.18,0.321,0.155
"P10","A Alberto Fernández",0.714,0.059,0.08,0.085
"P10","A Sergio Massa",0.104,0.81,0.054,0.122
"P10","A algún candidato del peronismo",0.09,0.067,0.741,0.122
"P10","A algún candidato del kirchnerismo",0.092,0.064,0.125,0.671
"P14","Lo votaría",0.745,0.291,0.212,0.161
"P14","Puede que lo vote",0.139,0.351,0.237,0.404
"P14","Nunca lo votaría",0.099,0.27,0.41,0.277
"P14","No sabe",0.017,0.088,0.141,0.158
"P15","Lo votaría",0.174,0.078,0.129,0.02
"P15","Puede que lo vote",0.238,0.193,0.094,0.055
"P15","Nunca lo votaría",0.487,0.672,0.723,0.895
"P15","No sabe",0.101,0.057,0.054,0.03
"P16","Lo votaría",0.05,0.079,0.126,0.017
"P16","Puede que lo vote",0.157,0.157,0.195,0.107
"P16","Nunca lo votaría",0.593,0.628,0.553,0.752
"P16","No sabe",0.2,0.136,0.126,0.124
"P17","La votaría",0.153,0.047,0.134,0.015
"P17","Puede que la vote",0.162,0.057,0.083,0.011
"P17","Nunca la votaría",0.505,0.822,0.746,0.939
"P17","No sabe",0.18,0.074,0.037,0.035
"P18","Lo votaría",0.081,0.049,0.114,0.014
"P18","Puede que lo vote",0.116,0.092,0.094,0.034
"P18","Nunca lo votaría",0.613,0.814,0.745,0.928
"P18","No sabe",0.19,0.045,0.047,0.024
"P19","La votaría",0.154,0.062,0.123,0.033
"P19","Puede que la vote",0.092,0.096,0.101,0.006
"P19","Nunca la votaría",0.646,0.801,0.691,0.905
"P19","No sabe",0.108,0.041,0.085,0.056
"P20","Lo votaría",0.094,0.127,0.199,0.407
"P20","Puede que lo vote",0.158,0.201,0.272,0.353
"P20","Nunca lo votaría",0.536,0.564,0.393,0.169
"P20","No sabe",0.212,0.108,0.136,0.071
"P21","Lo votaría",0.259,0.211,0.313,0.303
"P21","Puede que lo vote",0.258,0.309,0.279,0.482
"P21","Nunca lo votaría",0.35,0.38,0.276,0.144
"P21","No sabe",0.133,0.1,0.132,0.071
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.043,0.05,0.002
"P22","Patricia Bullrich por Juntos por el Cambio",0.111,0.008,0.045,0.004
"P22","Facundo Manes por Juntos por el Cambio",0.026,0.021,0.053,0.008
"P22","Alberto Fernández por el Frente de Todos",0.56,0.071,0.034,0.08
"P22","Sergio Massa por el Frente de Todos",0.018,0.661,0.084,0.14
"P22","Wado de Pedro por el Frente de Todos",0.016,0.064,0.186,0.464
"P22","Daniel Scioli por el Frente de Todos",0.204,0.06,0.276,0.198
"P22","Javier Milei por los liberales libertarios",0,0.03,0.061,0.003
"P22","Al candidato del Frente de Izquierda",0,0,0.092,0.017
"P22","No sabe",0.027,0.042,0.119,0.084
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.044,0.048,0.001
"P23","Patricia Bullrich por Juntos por el Cambio",0.053,0.008,0.069,0.011
"P23","María Eugenia Vidal por Juntos por el Cambio",0.091,0,0.036,0.011
"P23","Facundo Manes por Juntos por el Cambio",0.018,0.019,0.031,0.007
"P23","Sergio Massa por el Frente de Todos",0.157,0.685,0.142,0.185
"P23","Wado de Pedro por el Frente de Todos",0.045,0.062,0.159,0.498
"P23","Daniel Scioli por el Frente de Todos",0.31,0.1,0.295,0.197
"P23","Javier Milei por los liberales libertarios",0,0.061,0.057,0.007
"P23","Al candidato del Frente de Izquierda",0.042,0,0.085,0.014
"P23","No sabe",0.238,0.021,0.078,0.069
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.036,0.07,0.003
"P24","Patricia Bullrich por Juntos por el Cambio",0.064,0.009,0.046,0.009
"P24","María Eugenia Vidal por Juntos por el Cambio",0.065,0,0.032,0.011
"P24","Facundo Manes por Juntos por el Cambio",0,0.02,0.026,0.003
"P24","Sergio Massa por el Frente de Todos",0.066,0.703,0.244,0.188
"P24","Wado de Pedro por el Frente de Todos",0.056,0.075,0.193,0.545
"P24","Alberto Fernández por el Frente de Todos",0.626,0.087,0.165,0.14
"P24","Javier Milei por los liberales libertarios",0,0.035,0.051,0.005
"P24","Al candidato del Frente de Izquierda",0.042,0,0.058,0.011
"P24","No sabe",0.051,0.035,0.115,0.085
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.04,0.057,0
"P25","Patricia Bullrich por Juntos por el Cambio",0.064,0.009,0.039,0.009
"P25","Facundo Manes por Juntos por el Cambio",0.037,0.009,0.078,0.006
"P25","Sergio Massa por el Frente de Todos",0.146,0.556,0.148,0.148
"P25","Wado de Pedro por el Frente de Todos",0.051,0.223,0.217,0.459
"P25","Daniel Scioli por el Frente de Todos",0.346,0.098,0.307,0.275
"P25","Javier Milei por los liberales libertario",0.087,0.053,0.051,0.032
"P25","Al candidato del Frente de Izquierda",0.005,0.009,0.043,0.007
"P25","No sabe",0.201,0.003,0.06,0.064
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.088,0.058,0.075,0.006
"P26","Patricia Bulrich por Juntos por el Cambio",0.101,0.119,0.08,0.022
"P26","Alberto Fernández por el Frente de Todos",0.717,0.124,0.112,0.156
"P26","Sergio Massa por el Frente de Todos",0.033,0.564,0.429,0.491
"P26","Javier Milei por los liberales libertarios",0.004,0.122,0.047,0.038
"P26","Al candidato del Frente de Izquierda",0,0.003,0.096,0.1
"P26","No sabe",0.057,0.01,0.161,0.187
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.08,0.069,0.003
"P27","Patricia Bullrich por Juntos por el Cambio",0.054,0.014,0.056,0.009
"P27","Wado de Pedro por el Frente de Todos",0.249,0.117,0.202,0.518
"P27","Sergio Massa por el Frente de Todos",0.276,0.635,0.378,0.301
"P27","Javier Milei por los liberales libertarios",0.009,0.14,0.05,0.024
"P27","Al candidato del Frente de Izquierda",0.032,0,0.1,0.056
"P27","No sabe",0.278,0.014,0.145,0.089
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.098,0.078,0.018
"P28","Patricia Bullrich por Juntos por el Cambio",0.122,0.023,0.073,0.001
"P28","Wado de Pedro por el Frente de Todos",0.171,0.213,0.218,0.55
"P28","Daniel Scioli por el Frente de Todos",0.335,0.339,0.418,0.298
"P28","Javier Milei por los liberales libertarios",0.015,0.171,0.041,0.018
"P28","Al candidato del Frente de Izquierda",0.013,0,0.062,0.038
"P28","No sabe",0.278,0.156,0.11,0.077
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.083,0.027,0.099,0
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.031,0.04,0.063,0.013
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.299,0.561,0.359,0.242
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.295,0.179,0.267,0.606
"P29","Javier Milei presidente y su candidato a vice",0,0.107,0.034,0.006
"P29","A los candidatos de la izquierda",0.019,0.005,0.06,0.033
"P29","No sabe",0.273,0.081,0.118,0.1
"P30","Alberto Fernández por el Frente de Todos",0.917,0.545,0.529,0.624
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.056,0.111,0.022
"P30","Javier Milei por los liberales libertarios",0.009,0.167,0.079,0.011
"P30","Al candidato del Frente de Izquierda",0,0.012,0.076,0.095
"P30","No sabe",0.051,0.22,0.205,0.248
"P31","Sergio Massa por el Frente de Todos",0.526,0.743,0.596,0.694
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.11,0.058,0.14,0.021
"P31","Javier Milei por los liberales libertarios",0.029,0.09,0.054,0.016
"P31","Al candidato del Frente de Izquierda",0.033,0.007,0.065,0.062
"P31","No sabe",0.302,0.102,0.145,0.207
"P32","Wado de Pedro por el Frente de Todos",0.475,0.409,0.622,0.813
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.065,0.126,0.113,0.017
"P32","Javier Milei por los liberales libertarios",0.009,0.134,0.034,0.007
"P32","Al candidato del Frente de Izquierda",0.015,0.011,0.088,0.035
"P32","No sabe",0.436,0.32,0.143,0.128
"P33","Daniel Scioli por el Frente de Todos",0.606,0.617,0.684,0.782
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.133,0.106,0.114,0.006
"P33","Javier Milei por los liberales libertarios",0.01,0.114,0.047,0.008
"P33","Al candidato del Frente de Izquierda",0.019,0.007,0.078,0.051
"P33","No sabe",0.232,0.156,0.077,0.153
"P34","Sergio Massa por el Frente de Todos",0.521,0.818,0.559,0.734
"P34","Patricia Bullrich por Juntos por el Cambio",0.119,0.037,0.169,0.008
"P34","Javier Milei por los liberales libertarios",0.008,0.058,0.037,0.02
"P34","Al candidato del Frente de Izquierda",0.012,0.009,0.07,0.066
"P34","No sabe",0.34,0.078,0.165,0.172
"P35","Alberto Fernández por el Frente de Todos",0.89,0.62,0.56,0.684
"P35","Patricia Bullrich por Juntos por el Cambio",0.09,0.015,0.144,0.001
"P35","Javier Milei por los liberales libertarios",0.008,0.151,0.062,0.02
"P35","Al candidato del Frente de Izquierda",0.012,0.015,0.098,0.115
"P35","No sabe",0,0.199,0.136,0.18
"P36","Wado de Pedro por el Frente de Todos",0.491,0.441,0.574,0.824
"P36","Patricia Bullrich por Juntos por el Cambio",0.106,0.016,0.138,0.004
"P36","Javier Milei por los liberales libertarios",0.027,0.158,0.069,0.022
"P36","Al candidato del Frente de Izquierda",0.01,0.044,0.077,0.033
"P36","No sabe",0.366,0.341,0.142,0.117
"P37","Daniel Scioli por el Frente de Todos",0.641,0.547,0.626,0.805
"P37","Patricia Bullrich por Juntos por el Cambio",0.111,0.016,0.14,0.009
"P37","Javier Milei por los liberales libertarios",0.022,0.201,0.048,0.015
"P37","Al candidato del Frente de Izquierda",0,0.014,0.081,0.039
"P37","No sabe",0.226,0.222,0.105,0.132
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.265,0.082,0.182,0.125
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.317,0.643,0.524,0.564
"P38","Javier Milei presidente y su candidato a vice",0.072,0.137,0.043,0.01
"P38","A los candidatos de la izquierda",0.012,0.021,0.111,0.069
"P38","No sabe",0.334,0.117,0.14,0.232
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.23,0.03,0.149,0.03
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.39,0.717,0.557,0.629
"P39","Javier Milei presidente y su candidato a vice",0.011,0.101,0.035,0.007
"P39","A los candidatos de la izquierda",0.015,0.013,0.112,0.076
"P39","No sabe",0.354,0.139,0.147,0.258
"P40","Sergio Massa por el Frente de Todos",0.606,0.874,0.726,0.832
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.03,0.133,0.005
"P40","No sabe",0.319,0.096,0.141,0.163
