"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.519,0.39,0.463,0.538,0.443
"P04","Realizo changas o trabajos de vez en cuando",0.149,0.142,0.236,0.191,0.227
"P04","No tengo trabajo",0.119,0.164,0.234,0.167,0.183
"P04","Soy jubilado o pensionado",0.213,0.304,0.067,0.104,0.147
"P05","1",0.19,0.385,0.355,0.207,0.244
"P05","2",0.052,0.072,0.118,0.02,0.078
"P05","3",0.021,0.089,0.088,0.042,0.055
"P05","4",0.053,0.12,0.073,0.025,0.055
"P05","5",0.157,0.209,0.182,0.112,0.209
"P05","6",0.085,0.038,0.033,0.018,0.041
"P05","7",0.163,0.023,0.02,0.124,0.059
"P05","8",0.067,0.019,0.022,0.139,0.068
"P05","9",0.212,0.045,0.109,0.313,0.191
"P06","1",0.421,0.17,0.12,0.247,0.374
"P06","2",0.081,0.035,0.047,0.121,0.034
"P06","3",0.071,0.038,0.04,0.078,0.056
"P06","4",0.067,0.036,0.037,0.041,0.076
"P06","5",0.173,0.188,0.175,0.253,0.22
"P06","6",0.026,0.061,0.047,0.009,0.025
"P06","7",0.037,0.101,0.069,0.016,0.044
"P06","8",0.019,0.089,0.095,0.034,0.021
"P06","9",0.105,0.282,0.37,0.201,0.15
"P07","1",0.584,0.223,0.214,0.656,0.401
"P07","2",0.04,0.029,0.02,0.047,0.015
"P07","3",0.043,0.042,0.042,0.059,0.028
"P07","4",0.036,0.03,0.01,0.013,0.015
"P07","5",0.068,0.141,0.129,0.089,0.114
"P07","6",0.022,0.029,0.042,0.014,0.018
"P07","7",0.011,0.043,0.053,0.007,0.03
"P07","8",0.015,0.045,0.068,0.014,0.026
"P07","9",0.181,0.418,0.422,0.101,0.353
"P09","Del Frente de Todos y el peronismo",0.861,0.04,0.039,0.406,0.392
"P09","De Juntos por el cambio",0.053,0.768,0.113,0.097,0.162
"P09","De los Liberales libertarios",0.011,0.1,0.766,0.008,0.033
"P09","De la Izquierda",0.015,0.002,0.008,0.383,0.019
"P09","No sabe",0.06,0.09,0.074,0.106,0.394
"P10","A Alberto Fernández",0.104,0.333,0.259,0.034,0.122
"P10","A Sergio Massa",0.267,0,0.282,0.044,0.118
"P10","A algún candidato del peronismo",0.141,0.576,0.186,0.322,0.233
"P10","A algún candidato del kirchnerismo",0.488,0.091,0.273,0.6,0.527
"P11","A Alberto Fernández",0.066,0.258,0.027,0.02,0.175
"P11","A Sergio Massa",0.159,0.122,0.302,0.023,0.062
"P11","A algún candidato del peronismo",0.095,0.492,0.166,0.156,0.114
"P11","A Cristina Fernández de Kirchner",0.68,0.128,0.505,0.801,0.649
"P12","A Horacio Rodriguez Larreta",0.392,0.207,0.48,0.643,0.454
"P12","A Patricia Bullrich",0.014,0.731,0.482,0.054,0.304
"P12","A Facundo Manes",0.402,0.029,0.026,0.273,0.05
"P12","A Gerardo Morales",0.192,0.033,0.012,0.03,0.192
"P13","Lo votaría",0.362,0.034,0.033,0.022,0.068
"P13","Puede que lo vote",0.463,0.105,0.084,0.171,0.172
"P13","Nunca lo votaría",0.065,0.827,0.841,0.64,0.482
"P13","No sabe",0.11,0.034,0.042,0.167,0.278
"P14","Lo votaría",0.253,0.019,0.005,0.069,0.081
"P14","Puede que lo vote",0.392,0.02,0.039,0.207,0.118
"P14","Nunca lo votaría",0.242,0.948,0.91,0.647,0.576
"P14","No sabe",0.113,0.013,0.046,0.077,0.225
"P15","Lo votaría",0.058,0.248,0.055,0.056,0.065
"P15","Puede que lo vote",0.11,0.426,0.216,0.112,0.122
"P15","Nunca lo votaría",0.806,0.284,0.681,0.781,0.66
"P15","No sabe",0.026,0.042,0.048,0.051,0.153
"P16","Lo votaría",0.043,0.122,0.057,0.116,0.039
"P16","Puede que lo vote",0.163,0.3,0.21,0.162,0.149
"P16","Nunca lo votaría",0.666,0.473,0.655,0.588,0.601
"P16","No sabe",0.128,0.105,0.078,0.134,0.211
"P17","La votaría",0.02,0.684,0.21,0.038,0.043
"P17","Puede que la vote",0.026,0.196,0.34,0.104,0.055
"P17","Nunca la votaría",0.925,0.093,0.404,0.813,0.733
"P17","No sabe",0.029,0.027,0.046,0.045,0.169
"P18","Lo votaría",0.016,0.163,0.745,0,0.025
"P18","Puede que lo vote",0.055,0.321,0.192,0.131,0.116
"P18","Nunca lo votaría",0.91,0.449,0.05,0.833,0.728
"P18","No sabe",0.019,0.067,0.013,0.036,0.131
"P19","La votaría",0.042,0.233,0.148,0.028,0.04
"P19","Puede que la vote",0.051,0.372,0.229,0.105,0.089
"P19","Nunca la votaría",0.879,0.329,0.573,0.841,0.733
"P19","No sabe",0.028,0.066,0.05,0.026,0.138
"P20","Lo votaría",0.324,0.041,0.034,0.189,0.154
"P20","Puede que lo vote",0.345,0.061,0.065,0.336,0.136
"P20","Nunca lo votaría",0.255,0.835,0.831,0.353,0.511
"P20","No sabe",0.076,0.063,0.07,0.122,0.199
"P21","Lo votaría",0.315,0.017,0.038,0.049,0.111
"P21","Puede que lo vote",0.446,0.025,0.05,0.333,0.239
"P21","Nunca lo votaría",0.175,0.927,0.893,0.497,0.471
"P21","No sabe",0.064,0.031,0.019,0.121,0.179
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.135,0.021,0.049,0.088
