"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.53,0.432,0.422
"P04","Realizo changas o trabajos de vez en cuando",0.14,0.15,0.254
"P04","No tengo trabajo",0.132,0.175,0.205
"P04","Soy jubilado o pensionado",0.198,0.243,0.119
"P05","1",0.213,0.377,0.289
"P05","2",0.054,0.089,0.062
"P05","3",0.025,0.095,0.069
"P05","4",0.041,0.115,0.066
"P05","5",0.174,0.194,0.192
"P05","6",0.077,0.033,0.023
"P05","7",0.141,0.029,0.045
"P05","8",0.091,0.022,0.055
"P05","9",0.184,0.046,0.199
"P06","1",0.417,0.145,0.277
"P06","2",0.091,0.028,0.043
"P06","3",0.074,0.038,0.067
"P06","4",0.071,0.042,0.058
"P06","5",0.181,0.18,0.178
"P06","6",0.023,0.068,0.031
"P06","7",0.037,0.097,0.045
"P06","8",0.016,0.112,0.038
"P06","9",0.09,0.29,0.263
"P07","1",0.578,0.205,0.371
"P07","2",0.048,0.023,0.024
"P07","3",0.043,0.054,0.023
"P07","4",0.029,0.027,0.008
"P07","5",0.079,0.139,0.099
"P07","6",0.015,0.037,0.031
"P07","7",0.013,0.052,0.032
"P07","8",0.015,0.054,0.046
"P07","9",0.18,0.409,0.366
"P09","Del Frente de Todos y el peronismo",0.814,0.039,0.244
"P09","De Juntos por el cambio",0.038,0.626,0.145
"P09","De los Liberales libertarios",0.019,0.272,0.27
"P09","De la Izquierda",0.024,0.002,0.079
"P09","No sabe",0.105,0.061,0.262
"P10","A Alberto Fernández",0.069,0.443,0.119
"P10","A Sergio Massa",0.254,0.198,0.158
"P10","A algún candidato del peronismo",0.166,0.306,0.242
"P10","A algún candidato del kirchnerismo",0.511,0.053,0.481
"P11","A Alberto Fernández",0.044,0.249,0.129
"P11","A Sergio Massa",0.153,0.214,0.088
"P11","A algún candidato del peronismo",0.112,0.294,0.124
"P11","A Cristina Fernández de Kirchner",0.691,0.243,0.659
"P12","A Horacio Rodriguez Larreta",0.19,0.223,0.471
"P12","A Patricia Bullrich",0.209,0.721,0.306
"P12","A Facundo Manes",0.347,0.025,0.059
"P12","A Gerardo Morales",0.254,0.031,0.164
"P13","Lo votaría",0.311,0.024,0.05
"P13","Puede que lo vote",0.471,0.101,0.109
"P13","Nunca lo votaría",0.067,0.843,0.688
"P13","No sabe",0.151,0.032,0.153
"P14","Lo votaría",0.213,0.017,0.04
"P14","Puede que lo vote",0.416,0.015,0.071
"P14","Nunca lo votaría",0.228,0.952,0.767
"P14","No sabe",0.143,0.016,0.122
"P15","Lo votaría",0.029,0.202,0.061
"P15","Puede que lo vote",0.12,0.392,0.114
"P15","Nunca lo votaría",0.814,0.376,0.727
"P15","No sabe",0.037,0.03,0.098
"P16","Lo votaría",0.034,0.101,0.046
"P16","Puede que lo vote",0.139,0.307,0.153
"P16","Nunca lo votaría",0.67,0.513,0.651
"P16","No sabe",0.157,0.079,0.15
"P17","La votaría",0.018,0.587,0.041
"P17","Puede que la vote",0.029,0.272,0.12
"P17","Nunca la votaría",0.913,0.121,0.716
"P17","No sabe",0.04,0.02,0.123
"P18","Lo votaría",0.026,0.3,0.263
"P18","Puede que lo vote",0.05,0.303,0.143
"P18","Nunca lo votaría",0.909,0.341,0.498
"P18","No sabe",0.015,0.056,0.096
"P19","La votaría",0.021,0.205,0.076
"P19","Puede que la vote",0.064,0.359,0.093
"P19","Nunca la votaría",0.884,0.368,0.754
"P19","No sabe",0.031,0.068,0.077
"P20","Lo votaría",0.328,0.031,0.081
"P20","Puede que lo vote",0.323,0.065,0.14
"P20","Nunca lo votaría",0.261,0.851,0.648
"P20","No sabe",0.088,0.053,0.131
"P21","Lo votaría",0.296,0.023,0.069
"P21","Puede que lo vote",0.453,0.023,0.162
"P21","Nunca lo votaría",0.163,0.94,0.667
"P21","No sabe",0.088,0.014,0.102
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.103,0.074
"P22","Patricia Bullrich por Juntos por el Cambio",0.008,0.568,0.057
"P22","Facundo Manes por Juntos por el Cambio",0.027,0.059,0.078
"P22","Alberto Fernández por el Frente de Todos",0.082,0.012,0.059
"P22","Sergio Massa por el Frente de Todos",0.245,0.004,0.026
"P22","Wado de Pedro por el Frente de Todos",0.345,0.013,0.107
"P22","Daniel Scioli por el Frente de Todos",0.185,0.004,0.079
"P22","Javier Milei por los liberales libertarios",0.021,0.216,0.301
"P22","Al candidato del Frente de Izquierda",0.019,0.003,0.046
"P22","No sabe",0.064,0.018,0.173
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.09,0.093
"P23","Patricia Bullrich por Juntos por el Cambio",0.008,0.526,0.056
"P23","María Eugenia Vidal por Juntos por el Cambio",0.008,0.088,0.021
"P23","Facundo Manes por Juntos por el Cambio",0.035,0.044,0.061
"P23","Sergio Massa por el Frente de Todos",0.306,0.005,0.039
"P23","Wado de Pedro por el Frente de Todos",0.355,0.012,0.112
"P23","Daniel Scioli por el Frente de Todos",0.182,0.005,0.101
"P23","Javier Milei por los liberales libertarios",0.031,0.214,0.305
"P23","Al candidato del Frente de Izquierda",0.031,0,0.045
"P23","No sabe",0.04,0.016,0.167
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.088,0.075
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.539,0.054
"P24","María Eugenia Vidal por Juntos por el Cambio",0.004,0.081,0.021
"P24","Facundo Manes por Juntos por el Cambio",0.028,0.05,0.068
"P24","Sergio Massa por el Frente de Todos",0.318,0.003,0.035
"P24","Wado de Pedro por el Frente de Todos",0.393,0.011,0.129
"P24","Alberto Fernández por el Frente de Todos",0.128,0.011,0.078
"P24","Javier Milei por los liberales libertarios",0.03,0.21,0.312
"P24","Al candidato del Frente de Izquierda",0.023,0,0.045
"P24","No sabe",0.061,0.007,0.183
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.111,0.074
"P25","Patricia Bullrich por Juntos por el Cambio",0.006,0.458,0.037
"P25","Facundo Manes por Juntos por el Cambio",0.012,0.15,0.071
"P25","Sergio Massa por el Frente de Todos",0.257,0.008,0.039
"P25","Wado de Pedro por el Frente de Todos",0.365,0.019,0.098
"P25","Daniel Scioli por el Frente de Todos",0.24,0.006,0.122
"P25","Javier Milei por los liberales libertario",0.043,0.136,0.209
"P25","Al candidato del Frente de Izquierda",0.027,0.096,0.183
"P25","No sabe",0.036,0.016,0.167
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.148,0.08
"P26","Patricia Bulrich por Juntos por el Cambio",0.029,0.562,0.062
"P26","Alberto Fernández por el Frente de Todos",0.177,0.015,0.076
"P26","Sergio Massa por el Frente de Todos",0.569,0.013,0.047
"P26","Javier Milei por los liberales libertarios",0.045,0.216,0.334
