"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.074,0.077,0.083,0.075,0.076,0.069,0.089,0.057,0.091,0.069,0.09,0.028,0.132,0.129
"Patricia Bullrich por Juntos por el Cambio",0.225,0.213,0.238,0.106,0.163,0.294,0.42,0.2,0.227,0.257,0.226,0.224,0.057,0.475,0.154
"María Eugenia Vidal por Juntos por el Cambio",0.05,0.032,0.066,0.032,0.059,0.046,0.053,0.058,0.045,0.047,0.053,0.043,0.025,0.08,0.064
"Facundo Manes por Juntos por el Cambio",0.037,0.04,0.034,0.022,0.043,0.037,0.041,0.03,0.037,0.045,0.035,0.04,0.026,0.04,0.102
"Sergio Massa por el Frente de Todos",0.098,0.096,0.099,0.081,0.105,0.114,0.077,0.108,0.102,0.076,0.098,0.096,0.203,0.016,0.045
"Wado de Pedro por el Frente de Todos",0.132,0.123,0.141,0.117,0.126,0.141,0.154,0.096,0.126,0.188,0.138,0.12,0.285,0.029,0.038
"Alberto Fernández por el Frente de Todos",0.074,0.061,0.088,0.085,0.081,0.067,0.056,0.106,0.068,0.044,0.083,0.058,0.144,0.016,0.036
"Javier Milei por los liberales libertarios",0.189,0.251,0.129,0.306,0.219,0.124,0.068,0.175,0.217,0.161,0.184,0.199,0.095,0.178,0.272
"Al candidato del Frente de Izquierda",0.021,0.022,0.021,0.029,0.027,0.008,0.017,0.023,0.021,0.02,0.02,0.025,0.026,0.005,0.011
"No sabe",0.098,0.088,0.107,0.139,0.102,0.093,0.045,0.115,0.1,0.071,0.094,0.105,0.111,0.029,0.149
