"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P24","Sergio Massa por el Frente de Todos",0.02,0.063,0.183,0.144
"P24","Wado de Pedro por el Frente de Todos",0.007,0.019,0.317,0.096
"P24","Alberto Fernández por el Frente de Todos",0.003,0.019,0.102,0.057
"P24","Javier Milei por los liberales libertarios",0.516,0.051,0.017,0.038
"P24","Al candidato del Frente de Izquierda",0.003,0.018,0.026,0
"P24","No sabe",0.008,0.053,0.09,0.326
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.127,0.05,0
"P25","Patricia Bullrich por Juntos por el Cambio",0.265,0.447,0.118,0.233
"P25","Facundo Manes por Juntos por el Cambio",0.103,0.141,0.054,0.085
"P25","Sergio Massa por el Frente de Todos",0.015,0.057,0.155,0.073
"P25","Wado de Pedro por el Frente de Todos",0.006,0.032,0.29,0.056
"P25","Daniel Scioli por el Frente de Todos",0.013,0.044,0.176,0.257
"P25","Javier Milei por los liberales libertario",0.302,0.057,0.057,0.049
"P25","Al candidato del Frente de Izquierda",0.224,0.037,0.03,0
"P25","No sabe",0.006,0.058,0.07,0.247
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.147,0.081,0
"P26","Patricia Bulrich por Juntos por el Cambio",0.334,0.551,0.156,0.282
"P26","Alberto Fernández por el Frente de Todos",0.008,0.025,0.115,0.277
"P26","Sergio Massa por el Frente de Todos",0.017,0.094,0.362,0.147
"P26","Javier Milei por los liberales libertarios",0.498,0.065,0.042,0.065
"P26","Al candidato del Frente de Izquierda",0.009,0.035,0.086,0.022
"P26","No sabe",0.058,0.083,0.158,0.207
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.145,0.087,0.086
"P27","Patricia Bullrich por Juntos por el Cambio",0.345,0.561,0.154,0.212
"P27","Wado de Pedro por el Frente de Todos",0.006,0.012,0.316,0.279
"P27","Sergio Massa por el Frente de Todos",0.02,0.084,0.251,0.09
"P27","Javier Milei por los liberales libertarios",0.536,0.084,0.027,0.081
"P27","Al candidato del Frente de Izquierda",0.01,0.033,0.051,0.021
"P27","No sabe",0.015,0.081,0.114,0.231
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.071,0.161,0.076,0.038
"P28","Patricia Bullrich por Juntos por el Cambio",0.335,0.549,0.158,0.203
"P28","Wado de Pedro por el Frente de Todos",0.006,0.019,0.329,0.155
"P28","Daniel Scioli por el Frente de Todos",0.014,0.073,0.245,0.112
"P28","Javier Milei por los liberales libertarios",0.554,0.08,0.033,0.043
"P28","Al candidato del Frente de Izquierda",0.009,0.042,0.05,0.02
"P28","No sabe",0.011,0.076,0.109,0.429
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.138,0.187,0.088,0.07
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.273,0.497,0.139,0.206
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.014,0.078,0.226,0.09
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.011,0.026,0.35,0.161
"P29","Javier Milei presidente y su candidato a vice",0.548,0.077,0.026,0.027
"P29","A los candidatos de la izquierda",0.003,0.032,0.051,0
"P29","No sabe",0.013,0.103,0.12,0.446
"P30","Alberto Fernández por el Frente de Todos",0.015,0.089,0.449,0.373
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.184,0.44,0.169,0.108
"P30","Javier Milei por los liberales libertarios",0.72,0.193,0.031,0.027
"P30","Al candidato del Frente de Izquierda",0.009,0.034,0.084,0
"P30","No sabe",0.072,0.244,0.267,0.492
"P31","Sergio Massa por el Frente de Todos",0.012,0.102,0.492,0.274
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.19,0.483,0.173,0.246
"P31","Javier Milei por los liberales libertarios",0.726,0.159,0.034,0.044
"P31","Al candidato del Frente de Izquierda",0.009,0.036,0.078,0.02
"P31","No sabe",0.063,0.22,0.223,0.416
"P32","Wado de Pedro por el Frente de Todos",0.009,0.06,0.537,0.177
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.2,0.481,0.192,0.246
"P32","Javier Milei por los liberales libertarios",0.72,0.189,0.028,0.037
"P32","Al candidato del Frente de Izquierda",0.007,0.036,0.047,0.02
"P32","No sabe",0.064,0.234,0.196,0.52
"P33","Daniel Scioli por el Frente de Todos",0.02,0.091,0.526,0.274
