"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.073,0.077,0.072,0.076,0.079,0.072,0.081,0.06,0.094,0.07,0.086,0.03,0.127,0.166
"Patricia Bullrich por Juntos por el Cambio",0.223,0.207,0.237,0.104,0.158,0.293,0.415,0.194,0.229,0.248,0.222,0.224,0.054,0.469,0.162
"María Eugenia Vidal por Juntos por el Cambio",0.051,0.035,0.067,0.043,0.056,0.044,0.06,0.054,0.053,0.046,0.05,0.053,0.026,0.087,0.033
"Facundo Manes por Juntos por el Cambio",0.039,0.041,0.037,0.024,0.044,0.043,0.04,0.039,0.034,0.047,0.037,0.044,0.031,0.036,0.116
"Sergio Massa por el Frente de Todos",0.097,0.094,0.099,0.091,0.102,0.099,0.087,0.115,0.099,0.069,0.099,0.092,0.192,0.015,0.029
"Wado de Pedro por el Frente de Todos",0.115,0.1,0.13,0.105,0.113,0.119,0.127,0.074,0.114,0.17,0.121,0.104,0.256,0.024,0.03
"Daniel Scioli por el Frente de Todos",0.08,0.076,0.084,0.067,0.084,0.099,0.063,0.097,0.073,0.071,0.088,0.064,0.161,0.02,0.04
"Javier Milei por los liberales libertarios",0.193,0.263,0.127,0.322,0.225,0.119,0.068,0.178,0.225,0.158,0.192,0.194,0.102,0.184,0.252
"Al candidato del Frente de Izquierda",0.024,0.028,0.02,0.029,0.032,0.011,0.016,0.027,0.023,0.021,0.026,0.019,0.028,0.007,0.01
"No sabe",0.103,0.083,0.122,0.143,0.11,0.094,0.052,0.141,0.09,0.076,0.095,0.12,0.12,0.031,0.162
