"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.244,0.213,0.273,0.219,0.265,0.236,0.252,0.273,0.231,0.226,0.483,0.065,0.202,0.203,0.285,0.343,0.244
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.079,0.073,0.085,0.082,0.082,0.078,0.066,0.075,0.074,0.093,0.134,0.038,0.105,0.079,0.058,0.1,0.088
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.192,0.18,0.203,0.096,0.167,0.267,0.337,0.169,0.187,0.234,0.068,0.377,0.168,0.21,0.141,0.118,0.215
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.106,0.1,0.111,0.082,0.095,0.147,0.123,0.103,0.099,0.121,0.061,0.178,0.082,0.101,0.092,0.063,0.124
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.246,0.295,0.2,0.363,0.256,0.149,0.126,0.235,0.276,0.209,0.137,0.283,0.223,0.247,0.287,0.246,0.221
"Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.026,0.029,0.024,0.018,0.038,0.026,0.014,0.026,0.027,0.026,0.021,0.01,0.065,0.023,0.03,0.021,0.029
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.031,0.031,0.03,0.029,0.029,0.039,0.029,0.031,0.028,0.036,0.02,0.017,0.074,0.056,0.024,0.009,0.015
"Otros",0.045,0.047,0.044,0.064,0.042,0.034,0.033,0.054,0.045,0.032,0.048,0.018,0.056,0.041,0.069,0.054,0.034
"En blanco",0.031,0.032,0.03,0.047,0.026,0.024,0.02,0.034,0.033,0.023,0.028,0.014,0.025,0.04,0.014,0.046,0.03
