"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro.",0.587,0.634,0.544,0.512,0.61,0.631,0.613,0.564,0.564,0.657,0.594,0.63,0.561,0.596,0.544,0.629,0.598
"Bastante seguro",0.154,0.138,0.169,0.177,0.142,0.145,0.154,0.157,0.15,0.159,0.171,0.166,0.147,0.162,0.172,0.166,0.136
"Algo seguro",0.122,0.095,0.146,0.16,0.119,0.094,0.096,0.106,0.154,0.09,0.117,0.114,0.108,0.112,0.143,0.114,0.12
"Para nada seguro",0.137,0.133,0.141,0.151,0.129,0.13,0.137,0.173,0.132,0.094,0.118,0.09,0.184,0.13,0.141,0.091,0.146
