"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P22","Totalmente seguro.",0.617,0.602,0.684,0.431,0.33,0.372,0.362
"P22","Bastante seguro",0.167,0.167,0.134,0.124,0.178,0.167,0.104
"P22","Algo seguro",0.102,0.137,0.111,0.144,0.203,0.134,0.092
"P22","Para nada seguro",0.114,0.094,0.071,0.301,0.289,0.327,0.442
"P23","Tiene Decidido que va a ir a votar.",0.88,0.89,0.898,0.719,0.672,0.746,0.629
"P23","Tiene dudas sobre si va a ir a  votar",0.079,0.062,0.071,0.157,0.106,0.166,0.124
"P23","Tiene Decidido que no va a ir a votar",0.041,0.048,0.031,0.124,0.222,0.088,0.247
"P34","Inflación",0.38,0.287,0.338,0.236,0.21,0.262,0.358
"P34","Desempleo",0.109,0.091,0.066,0.171,0.114,0.155,0.069
"P34","Corrupción",0.122,0.291,0.38,0.212,0.21,0.229,0.261
"P34","Inseguridad",0.125,0.212,0.106,0.152,0.284,0.063,0.102
"P34","Precio del dólar",0.033,0.015,0.01,0.033,0,0.018,0.014
"P34","Pobreza",0.106,0.047,0.038,0.1,0.051,0.093,0.057
"P34","Narcotráfico",0.01,0.022,0.015,0.026,0.039,0.01,0.025
"P34","Tarifas",0.017,0.004,0.009,0.007,0.062,0.027,0.023
"P34","Otro",0.075,0.018,0.02,0.053,0.03,0.096,0.044
"P34","No sabe",0.023,0.013,0.018,0.01,0,0.047,0.047
