"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar"
"P09_votan","Unión por la Patria",0.238,0.182
"P09_votan","Juntos por el Cambio",0.325,0.203
"P09_votan","De los liberales libertarios",0.237,0.174
"P09_votan","De la Izquierda",0.035,0.078
"P09_votan","Hacemos por nuestro país",0.016,0.029
"P09_votan","Otro",0.043,0.103
"P09_votan","En blanco",0.027,0.065
"P09_votan","No sabe",0.079,0.166
"P12_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.241,0.166
"P12_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.075,0.073
"P12_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.122
"P12_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.104,0.127
"P12_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.255,0.221
"P12_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.022,0.042
"P12_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.055
"P12_votan","Otros",0.026,0.06
"P12_votan","En blanco",0.016,0.032
"P12_votan","No sabe",0.037,0.102
"P22_votan","Totalmente seguro.",0.652,0.229
"P22_votan","Bastante seguro",0.146,0.292
"P22_votan","Algo seguro",0.107,0.131
"P22_votan","Para nada seguro",0.095,0.348
"P34_votan","Inflación",0.327,0.276
"P34_votan","Desempleo",0.091,0.142
"P34_votan","Corrupción",0.266,0.194
"P34_votan","Inseguridad",0.152,0.144
"P34_votan","Precio del dólar",0.016,0.06
"P34_votan","Pobreza",0.067,0.075
"P34_votan","Narcotráfico",0.014,0.035
"P34_votan","Tarifas",0.01,0.016
"P34_votan","Otro",0.041,0.034
"P34_votan","No sabe",0.016,0.024
"P09_imputada_votan","Unión por la Patria",0.255,0.237
"P09_imputada_votan","Juntos por el Cambio",0.35,0.253
"P09_imputada_votan","De los liberales libertarios",0.254,0.206
"P09_imputada_votan","De la Izquierda",0.043,0.098
"P09_imputada_votan","Hacemos por nuestro país",0.017,0.029
"P09_imputada_votan","Otro",0.049,0.112
"P09_imputada_votan","En blanco",0.032,0.065
"P12_imputada_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.254,0.199
"P12_imputada_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.076,0.078
"P12_imputada_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.204,0.125
"P12_imputada_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.106,0.138
"P12_imputada_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.263,0.258
"P12_imputada_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.023,0.042
"P12_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.058
"P12_imputada_votan","Otros",0.031,0.07
"P12_imputada_votan","En blanco",0.019,0.032
