"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco"
"P22","Totalmente seguro.",0.614,0.53,0.627,0.534,0.683,0.465,0.378,0.29,0.304
"P22","Bastante seguro",0.153,0.236,0.153,0.207,0.125,0.109,0.167,0.136,0.07
"P22","Algo seguro",0.128,0.123,0.127,0.13,0.119,0.093,0.13,0.119,0.044
"P22","Para nada seguro",0.105,0.111,0.093,0.129,0.073,0.333,0.325,0.455,0.582
"P23","Tiene Decidido que va a ir a votar.",0.888,0.845,0.899,0.841,0.881,0.77,0.72,0.669,0.619
"P23","Tiene dudas sobre si va a ir a  votar",0.067,0.085,0.053,0.105,0.084,0.139,0.165,0.149,0.102
"P23","Tiene Decidido que no va a ir a votar",0.045,0.07,0.048,0.054,0.035,0.091,0.115,0.182,0.279
"P34","Inflación",0.361,0.364,0.305,0.316,0.307,0.184,0.239,0.292,0.338
"P34","Desempleo",0.12,0.136,0.059,0.127,0.066,0.239,0.074,0.135,0.082
"P34","Corrupción",0.139,0.123,0.317,0.258,0.367,0.235,0.321,0.241,0.224
"P34","Inseguridad",0.156,0.134,0.217,0.159,0.114,0.117,0.172,0.064,0.078
"P34","Precio del dólar",0.027,0.017,0.009,0.017,0.02,0.008,0.01,0.051,0
"P34","Pobreza",0.09,0.102,0.041,0.04,0.046,0.161,0.065,0.076,0.138
"P34","Narcotráfico",0.013,0.006,0.016,0.034,0.018,0.008,0.011,0.027,0.032
"P34","Tarifas",0.015,0.029,0.006,0.004,0.008,0.004,0,0.035,0.039
"P34","Otro",0.055,0.073,0.019,0.02,0.037,0.039,0.054,0.043,0.069
"P34","No sabe",0.024,0.016,0.011,0.025,0.017,0.005,0.054,0.036,0
