"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P22_votan","Totalmente seguro.",0.635,0.619,0.697,0.488,0.362,0.391,0.404
"P22_votan","Bastante seguro",0.169,0.173,0.137,0.129,0.202,0.184,0.095
"P22_votan","Algo seguro",0.094,0.12,0.099,0.097,0.203,0.126,0.102
"P22_votan","Para nada seguro",0.102,0.088,0.067,0.286,0.233,0.299,0.399
"P23_votan","Tiene Decidido que va a ir a votar.",0.917,0.935,0.927,0.821,0.862,0.818,0.837
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.083,0.065,0.073,0.179,0.138,0.182,0.163
"P34_votan","Inflación",0.384,0.289,0.339,0.258,0.249,0.241,0.331
"P34_votan","Desempleo",0.103,0.09,0.063,0.165,0.144,0.164,0.093
"P34_votan","Corrupción",0.121,0.289,0.382,0.192,0.263,0.251,0.242
"P34_votan","Inseguridad",0.125,0.213,0.108,0.146,0.233,0.069,0.128
"P34_votan","Precio del dólar",0.033,0.016,0.009,0.037,0,0.02,0
"P34_votan","Pobreza",0.105,0.049,0.04,0.111,0.059,0.101,0.067
"P34_votan","Narcotráfico",0.011,0.02,0.013,0.029,0.014,0.011,0.033
"P34_votan","Tarifas",0.018,0.003,0.009,0.008,0,0.03,0.033
"P34_votan","Otro",0.077,0.017,0.019,0.047,0.038,0.105,0.056
"P34_votan","No sabe",0.023,0.014,0.018,0.007,0,0.008,0.017
