"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P09_votan","Unión por la Patria",0.255,0.243,0.191,0.148
"P09_votan","Juntos por el Cambio",0.335,0.347,0.302,0.175
"P09_votan","De los liberales libertarios",0.273,0.202,0.178,0.101
"P09_votan","De la Izquierda",0.037,0.04,0.039,0.055
"P09_votan","Hacemos por nuestro país",0.011,0.023,0.031,0.031
"P09_votan","Otro",0.032,0.056,0.053,0.113
"P09_votan","En blanco",0.021,0.01,0.03,0.1
"P09_votan","No sabe",0.036,0.079,0.176,0.277
"P12_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.252,0.236,0.231,0.152
"P12_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.071,0.122,0.065,0.045
"P12_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.208,0.181,0.204,0.138
"P12_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.096,0.149,0.115,0.087
"P12_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.292,0.2,0.258,0.09
"P12_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.02,0.016,0.012,0.058
"P12_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.032,0.035,0.057
"P12_votan","Otros",0.018,0.034,0.013,0.098
"P12_votan","En blanco",0.012,0.006,0.005,0.081
"P12_votan","No sabe",0.014,0.024,0.062,0.194
"P23_votan","Tiene Decidido que va a ir a votar.",0.967,0.838,0.894,0.738
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.033,0.162,0.106,0.262
"P34_votan","Inflación",0.342,0.326,0.256,0.273
"P34_votan","Desempleo",0.082,0.097,0.12,0.14
"P34_votan","Corrupción",0.267,0.242,0.267,0.244
"P34_votan","Inseguridad",0.141,0.156,0.156,0.197
"P34_votan","Precio del dólar",0.02,0.015,0.036,0.001
"P34_votan","Pobreza",0.061,0.079,0.098,0.062
"P34_votan","Narcotráfico",0.016,0.008,0.018,0.03
"P34_votan","Tarifas",0.01,0.02,0.008,0.003
"P34_votan","Otro",0.044,0.031,0.039,0.036
"P34_votan","No sabe",0.017,0.026,0.002,0.014
"P09_imputada_votan","Unión por la Patria",0.263,0.268,0.218,0.213
"P09_imputada_votan","Juntos por el Cambio",0.347,0.372,0.381,0.249
"P09_imputada_votan","De los liberales libertarios",0.283,0.214,0.227,0.138
"P09_imputada_votan","De la Izquierda",0.039,0.04,0.044,0.117
"P09_imputada_votan","Hacemos por nuestro país",0.011,0.023,0.034,0.035
"P09_imputada_votan","Otro",0.034,0.062,0.062,0.132
"P09_imputada_votan","En blanco",0.023,0.021,0.034,0.116
"P12_imputada_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.257,0.242,0.257,0.216
"P12_imputada_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.071,0.122,0.065,0.056
"P12_imputada_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.208,0.19,0.21,0.147
"P12_imputada_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.098,0.15,0.125,0.095
"P12_imputada_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.297,0.206,0.258,0.143
"P12_imputada_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.02,0.016,0.014,0.067
"P12_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.032,0.035,0.06
"P12_imputada_votan","Otros",0.02,0.036,0.024,0.117
"P12_imputada_votan","En blanco",0.012,0.006,0.012,0.099
