"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.229,0.208,0.25,0.199,0.248,0.228,0.245,0.257,0.214,0.216,0.47,0.062,0.193,0.189,0.259,0.323,0.235
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.077,0.071,0.083,0.082,0.081,0.072,0.066,0.072,0.073,0.09,0.131,0.038,0.1,0.077,0.055,0.1,0.086
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.188,0.179,0.196,0.089,0.165,0.265,0.328,0.166,0.182,0.229,0.067,0.371,0.168,0.206,0.139,0.116,0.209
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.101,0.095,0.105,0.077,0.09,0.139,0.119,0.096,0.095,0.117,0.055,0.175,0.082,0.092,0.092,0.063,0.118
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.233,0.286,0.184,0.344,0.241,0.145,0.118,0.227,0.258,0.2,0.136,0.269,0.201,0.233,0.278,0.24,0.207
"Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.025,0.026,0.024,0.018,0.034,0.027,0.014,0.023,0.026,0.025,0.021,0.007,0.065,0.022,0.028,0.021,0.026
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.03,0.029,0.027,0.028,0.037,0.027,0.031,0.026,0.034,0.02,0.016,0.074,0.055,0.024,0.009,0.014
"Otros",0.038,0.038,0.038,0.06,0.034,0.026,0.026,0.046,0.039,0.027,0.042,0.016,0.051,0.035,0.06,0.054,0.028
"En blanco",0.027,0.03,0.026,0.041,0.023,0.022,0.02,0.03,0.029,0.022,0.025,0.014,0.02,0.033,0.013,0.043,0.028
"No sabe",0.052,0.037,0.065,0.063,0.056,0.039,0.037,0.052,0.058,0.04,0.033,0.032,0.046,0.058,0.052,0.031,0.049
