"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro.",0.612,0.664,0.563,0.548,0.628,0.649,0.639,0.597,0.59,0.666,0.614,0.647,0.604,0.61,0.569,0.669,0.627
"Bastante seguro",0.159,0.14,0.177,0.187,0.146,0.149,0.156,0.161,0.156,0.163,0.176,0.17,0.153,0.169,0.182,0.172,0.136
"Algo seguro",0.108,0.081,0.134,0.135,0.107,0.085,0.091,0.096,0.133,0.084,0.111,0.097,0.081,0.101,0.122,0.094,0.11
"Para nada seguro",0.121,0.115,0.126,0.13,0.119,0.117,0.114,0.146,0.121,0.087,0.099,0.086,0.162,0.12,0.127,0.065,0.127
