"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco"
"P22_votan","Totalmente seguro.",0.629,0.567,0.643,0.55,0.699,0.499,0.397,0.35,0.337
"P22_votan","Bastante seguro",0.155,0.253,0.153,0.219,0.126,0.106,0.189,0.167,0.046
"P22_votan","Algo seguro",0.111,0.092,0.115,0.125,0.108,0.063,0.141,0.074,0.06
"P22_votan","Para nada seguro",0.105,0.088,0.089,0.106,0.067,0.332,0.273,0.409,0.557
"P23_votan","Tiene Decidido que va a ir a votar.",0.929,0.91,0.944,0.889,0.913,0.85,0.811,0.817,0.86
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.071,0.09,0.056,0.111,0.087,0.15,0.189,0.183,0.14
"P34_votan","Inflación",0.366,0.364,0.317,0.329,0.304,0.192,0.247,0.253,0.257
"P34_votan","Desempleo",0.114,0.138,0.051,0.133,0.068,0.215,0.084,0.155,0.058
"P34_votan","Corrupción",0.138,0.115,0.314,0.26,0.367,0.253,0.313,0.265,0.22
"P34_votan","Inseguridad",0.154,0.126,0.22,0.148,0.118,0.125,0.191,0.074,0.098
"P34_votan","Precio del dólar",0.028,0.018,0.01,0.016,0.021,0,0,0.059,0
"P34_votan","Pobreza",0.094,0.107,0.043,0.04,0.047,0.168,0.076,0.06,0.182
"P34_votan","Narcotráfico",0.014,0.007,0.014,0.034,0.016,0.009,0.013,0.002,0.042
"P34_votan","Tarifas",0.01,0.031,0.007,0.004,0.008,0,0,0.04,0.056
"P34_votan","Otro",0.057,0.077,0.015,0.021,0.037,0.033,0.062,0.049,0.087
"P34_votan","No sabe",0.025,0.017,0.009,0.015,0.014,0.005,0.014,0.043,0
