"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Unión por la Patria",0.224,0.227,0.221,0.167,0.248,0.253,0.235,0.209,0.203,0.279,0.466,0.068,0.152,0.195,0.182,0.332,0.257
"Juntos por el Cambio",0.3,0.262,0.335,0.205,0.255,0.385,0.478,0.293,0.279,0.345,0.165,0.549,0.258,0.312,0.3,0.224,0.3
"De los liberales libertarios",0.214,0.277,0.156,0.296,0.234,0.143,0.103,0.203,0.239,0.187,0.128,0.233,0.256,0.213,0.217,0.188,0.216
"De la Izquierda",0.048,0.052,0.045,0.057,0.058,0.029,0.034,0.049,0.052,0.042,0.035,0.023,0.095,0.045,0.044,0.048,0.054
"Hacemos por nuestro país",0.021,0.026,0.015,0.026,0.019,0.014,0.021,0.028,0.015,0.019,0.017,0.013,0.042,0.031,0.023,0.009,0.011
"Otro",0.052,0.052,0.052,0.06,0.046,0.06,0.041,0.06,0.053,0.039,0.052,0.036,0.064,0.061,0.054,0.072,0.041
"En blanco",0.035,0.037,0.034,0.056,0.027,0.028,0.027,0.039,0.044,0.017,0.036,0.018,0.05,0.032,0.039,0.054,0.034
"No sabe",0.106,0.067,0.142,0.133,0.113,0.088,0.061,0.119,0.115,0.072,0.101,0.06,0.083,0.111,0.141,0.073,0.087
