"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Unión por la Patria",0.276,0.256,0.104,0.192,0.426,0.386,0.128,0.366,0.463,0.247
"P09","Juntos por el Cambio",0.295,0.31,0.363,0.44,0.239,0.192,0.409,0.102,0.137,0.152
"P09","De los liberales libertarios",0.243,0.151,0.327,0.16,0.112,0.116,0.178,0.19,0.103,0.207
"P09","De la Izquierda",0.032,0.069,0.034,0.044,0.067,0.07,0.017,0.027,0.03,0.01
"P09","Hacemos por nuestro país",0.012,0.024,0.016,0.032,0,0.016,0.045,0.107,0.015,0
"P09","Otro",0.038,0.088,0.05,0.024,0.055,0.053,0.028,0.134,0.138,0.091
"P09","En blanco",0.034,0.027,0.037,0.018,0.016,0.027,0.054,0.074,0.036,0.09
"P09","No sabe",0.07,0.075,0.069,0.09,0.085,0.14,0.141,0,0.078,0.203
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.262,0.277,0.12,0.227,0.339,0.323,0.118,0.305,0.331,0.218
"P12","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.083,0.102,0.034,0.065,0.066,0.113,0.025,0.179,0.133,0.061
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.182,0.12,0.24,0.284,0.096,0.115,0.172,0.099,0.092,0.09
"P12","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.113,0.138,0.115,0.117,0.093,0.069,0.227,0.041,0.057,0.036
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.242,0.157,0.359,0.193,0.256,0.183,0.251,0.185,0.24,0.189
"P12","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.014,0.061,0.017,0.019,0,0.06,0.012,0.008,0.014,0.006
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.02,0.036,0.034,0.016,0.03,0.019,0,0.04,0.083
"P12","Otros",0.028,0.044,0.029,0.011,0.094,0.008,0.053,0.102,0.037,0.027
"P12","En blanco",0.023,0.019,0.019,0.008,0,0.034,0.041,0.074,0.039,0
"P12","No sabe",0.032,0.062,0.031,0.042,0.04,0.065,0.082,0.007,0.017,0.29
"P22","Totalmente seguro.",0.639,0.505,0.623,0.568,0.644,0.552,0.553,0.54,0.649,0.538
"P22","Bastante seguro",0.159,0.152,0.147,0.157,0.123,0.182,0.069,0.262,0.126,0.2
"P22","Algo seguro",0.096,0.183,0.119,0.131,0.198,0.157,0.167,0.171,0.123,0.022
"P22","Para nada seguro",0.106,0.16,0.111,0.144,0.035,0.109,0.211,0.027,0.102,0.24
"P23","Tiene Decidido que va a ir a votar.",0.89,0.814,0.891,0.879,0.716,0.89,0.721,0.759,0.894,0.713
"P23","Tiene dudas sobre si va a ir a  votar",0.066,0.113,0.058,0.074,0.245,0.089,0.155,0.107,0.066,0.094
"P23","Tiene Decidido que no va a ir a votar",0.044,0.073,0.051,0.047,0.039,0.021,0.124,0.134,0.04,0.193
"P09_imputada","Unión por la Patria",0.299,0.284,0.118,0.209,0.437,0.407,0.151,0.366,0.47,0.293
"P09_imputada","Juntos por el Cambio",0.309,0.325,0.387,0.486,0.274,0.248,0.437,0.102,0.153,0.235
"P09_imputada","De los liberales libertarios",0.254,0.163,0.351,0.168,0.122,0.141,0.208,0.19,0.119,0.216
"P09_imputada","De la Izquierda",0.036,0.085,0.039,0.049,0.083,0.074,0.073,0.027,0.063,0.025
"P09_imputada","Hacemos por nuestro país",0.013,0.024,0.016,0.039,0,0.016,0.045,0.107,0.015,0
"P09_imputada","Otro",0.047,0.092,0.051,0.024,0.055,0.082,0.032,0.134,0.138,0.141
"P09_imputada","En blanco",0.042,0.027,0.038,0.025,0.029,0.032,0.054,0.074,0.042,0.09
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.273,0.297,0.13,0.25,0.339,0.332,0.184,0.305,0.331,0.304
"P12_imputada","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.083,0.102,0.034,0.065,0.066,0.113,0.025,0.179,0.133,0.061
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.188,0.12,0.242,0.285,0.096,0.123,0.177,0.107,0.096,0.11
"P12_imputada","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.114,0.152,0.115,0.122,0.106,0.071,0.227,0.041,0.057,0.149
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.25,0.178,0.369,0.198,0.272,0.183,0.262,0.184,0.243,0.223
"P12_imputada","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.014,0.061,0.022,0.019,0.011,0.06,0.012,0.008,0.024,0.006
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.023,0.037,0.034,0.016,0.029,0.019,0,0.04,0.083
"P12_imputada","Otros",0.032,0.048,0.032,0.015,0.094,0.041,0.053,0.102,0.037,0.064
"P12_imputada","En blanco",0.024,0.019,0.019,0.012,0,0.048,0.041,0.074,0.039,0
