"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.208,0.231,0.187,0.246,0.221,0.175,0.164,0.25,0.197,0.174,0.169,0.207,0.199,0.207,0.258,0.225,0.221,0.218,0.227,0.184
"No",0.792,0.769,0.813,0.754,0.779,0.825,0.836,0.75,0.803,0.826,0.831,0.793,0.801,0.793,0.742,0.775,0.779,0.782,0.773,0.816
