"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.481,0.358,0.355,0.44,0.396,0.307,0.276,0.29
"P05","Bastante",0.396,0.455,0.42,0.404,0.438,0.463,0.452,0.35
"P05","Poco",0.098,0.153,0.161,0.084,0.161,0.201,0.201,0.152
"P05","Nada",0.016,0.025,0.055,0.045,0.005,0.021,0.071,0.192
"P05","No sabe",0.009,0.009,0.009,0.027,0,0.008,0,0.016
"P06","Siempre",0.275,0.24,0.187,0.271,0.227,0.296,0.217,0.222
"P06","Casi siempre",0.454,0.47,0.418,0.422,0.379,0.406,0.379,0.39
"P06","Casi nunca",0.22,0.26,0.287,0.218,0.202,0.192,0.313,0.28
"P06","Nunca, pero esta es una excepción",0.051,0.03,0.108,0.089,0.192,0.106,0.091,0.108
"P08","Unión por la Patria",0.753,0.09,0.077,0.24,0.158,0.124,0.139,0.115
"P08","Juntos por el Cambio",0.127,0.797,0.218,0.21,0.189,0.483,0.425,0.376
"P08","Liberales",0.015,0.053,0.573,0.062,0.269,0.042,0.053,0.015
"P08","Izquierda",0.026,0.007,0.011,0.376,0.059,0.037,0.019,0.035
"P08","Otro",0.026,0.009,0.056,0.099,0.221,0.182,0.119,0.053
"P08","No sabe",0.053,0.044,0.065,0.013,0.104,0.132,0.245,0.406
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.738,0.016,0.016,0.116,0.121,0.028,0.167,0.098
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.187,0.016,0.024,0.342,0.085,0.116,0.077,0.03
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.014,0.62,0.215,0.086,0.089,0.443,0.398,0.325
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.013,0.302,0.022,0.047,0.122,0.14,0.056,0.06
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.019,0.03,0.703,0.062,0.19,0.021,0,0.003
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.003,0.003,0.002,0.313,0,0.007,0,0.066
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.005,0.003,0,0,0.309,0,0.012,0
"P15","Otros",0.007,0.002,0.008,0.023,0.084,0.17,0.023,0.062
"P15","En blanco",0.002,0.005,0.008,0.011,0,0.001,0.216,0.027
"P15","No sabe",0.012,0.003,0.002,0,0,0.074,0.051,0.329
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.636,0.05,0.06,0.154,0.079,0.096,0.119,0.046
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.211,0.044,0.053,0.214,0.084,0.09,0.078,0.043
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.044,0.484,0.325,0.059,0.239,0.403,0.278,0.293
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.051,0.308,0.059,0.056,0.151,0.063,0.165,0.069
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.026,0.083,0.437,0.145,0.086,0.068,0.038,0.032
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.008,0.018,0.26,0,0.024,0.006,0.03
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0.002,0.001,0.03,0.212,0.002,0.012,0
"P24","Otros",0.004,0.005,0.014,0.062,0.069,0.179,0.005,0.036
"P24","En blanco",0.003,0.009,0.011,0.02,0.006,0.006,0.237,0.088
"P24","No sabe",0.01,0.007,0.022,0,0.074,0.069,0.062,0.363
"P25","Totalmente seguro",0.73,0.712,0.75,0.763,0.472,0.59,0.655,0.398
"P25","Bastante seguro",0.155,0.148,0.137,0.13,0.199,0.118,0.141,0.042
"P25","Algo seguro",0.076,0.087,0.078,0.068,0.217,0.172,0.056,0.097
"P25","Para nada seguro",0.039,0.053,0.035,0.039,0.112,0.12,0.148,0.463
"P26","Tiene Decidido que va a ir a votar",0.936,0.922,0.911,0.935,0.756,0.89,0.728,0.747
"P26","Tiene dudas sobre si va a ir a votar",0.041,0.055,0.072,0.047,0.117,0.063,0.194,0.127
"P26","Tiene Decidido que no va a ir a votar",0.023,0.023,0.017,0.018,0.127,0.047,0.078,0.126
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.947,0.022,0.008,0.159,0.093,0.069,0.1,0.11
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.012,0.808,0.233,0.077,0.188,0.415,0.427,0.327
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.008,0.057,0.74,0.046,0.165,0.014,0.031,0.006
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.007,0.005,0.66,0.007,0.005,0.018,0.021
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.002,0.009,0,0.011,0.509,0.015,0,0.014
