"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.45,0.465,0.37,0.323,0.351,0.368,0.328,0.321,0.258,0.184
"P05","Bastante",0.37,0.437,0.441,0.454,0.405,0.406,0.672,0.414,0.311,0.306
"P05","Poco",0.141,0.071,0.158,0.177,0.162,0.147,0,0.165,0.162,0.333
"P05","Nada",0.026,0.02,0.029,0.043,0.054,0.074,0,0.089,0.218,0.15
"P05","No sabe",0.013,0.007,0.002,0.003,0.028,0.005,0,0.011,0.051,0.027
"P06","Siempre",0.269,0.215,0.229,0.254,0.223,0.203,0.132,0.16,0.233,0.07
"P06","Casi siempre",0.404,0.447,0.439,0.414,0.406,0.298,0.556,0.292,0.285,0.418
"P06","Casi nunca",0.245,0.261,0.281,0.281,0.256,0.423,0.217,0.319,0.314,0.332
"P06","Nunca, pero esta es una excepción",0.082,0.077,0.051,0.051,0.115,0.076,0.095,0.229,0.168,0.18
"P08","Unión por la Patria",0.711,0.597,0.091,0.175,0.127,0.169,0.29,0.158,0.076,0.05
"P08","Juntos por el Cambio",0.104,0.207,0.619,0.656,0.332,0.139,0.301,0.21,0.142,0.169
"P08","Liberales",0.03,0.078,0.2,0.076,0.416,0.131,0.043,0.098,0.168,0.114
"P08","Izquierda",0.035,0.028,0.005,0.009,0.009,0.33,0.153,0.062,0.086,0
"P08","Otro",0.04,0.053,0.027,0.033,0.057,0.108,0.123,0.287,0.119,0.057
"P08","No sabe",0.08,0.037,0.058,0.051,0.059,0.123,0.09,0.185,0.409,0.61
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.662,0.551,0.053,0.117,0.051,0.101,0.104,0.044,0.076,0.049
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.177,0.182,0.025,0.041,0.044,0.266,0,0.11,0.046,0.004
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.056,0.039,0.528,0.415,0.325,0.127,0.143,0.013,0.088,0.091
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.026,0.066,0.15,0.325,0.074,0.028,0.055,0.125,0.029,0.036
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.043,0.116,0.222,0.082,0.488,0.121,0.063,0.126,0.108,0.109
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.009,0.019,0.003,0.012,0.002,0.253,0.114,0.05,0.086,0
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.004,0.007,0.003,0.001,0.047,0.453,0.01,0.005,0
"P15","Otros",0.015,0.013,0.001,0.001,0.011,0.029,0.055,0.413,0.119,0.025
"P15","En blanco",0.002,0,0.005,0.001,0.001,0.028,0.013,0.053,0.426,0.046
"P15","No sabe",0.007,0.01,0.006,0.003,0.003,0,0,0.056,0.017,0.64
"P25","Totalmente seguro",0.735,0.674,0.715,0.631,0.766,0.517,0.596,0.463,0.511,0.219
"P25","Bastante seguro",0.122,0.225,0.118,0.199,0.125,0.194,0.086,0.153,0.091,0.068
"P25","Algo seguro",0.087,0.078,0.107,0.094,0.08,0.124,0.185,0.186,0.059,0.06
"P25","Para nada seguro",0.056,0.023,0.06,0.076,0.029,0.165,0.133,0.198,0.339,0.653
"P26","Tiene Decidido que va a ir a votar",0.92,0.899,0.921,0.882,0.918,0.827,0.88,0.799,0.634,0.697
"P26","Tiene dudas sobre si va a ir a votar",0.057,0.083,0.045,0.09,0.063,0.104,0.027,0.097,0.206,0.19
"P26","Tiene Decidido que no va a ir a votar",0.023,0.018,0.034,0.028,0.019,0.069,0.093,0.104,0.16,0.113
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.835,0.648,0.067,0.156,0.079,0.156,0.165,0.12,0.11,0.133
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.061,0.078,0.668,0.543,0.312,0.119,0.122,0.074,0.13,0.12
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.044,0.102,0.205,0.113,0.548,0.127,0.039,0.125,0.195,0.108
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.026,0.059,0.002,0.026,0.024,0.34,0.085,0.036,0.091,0.007
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0.006,0.008,0.016,0.017,0.024,0.462,0.069,0.007,0
"P31","Otros",0.02,0.068,0.03,0.064,0.006,0.146,0.039,0.445,0.036,0.048
"P31","En blanco",0.002,0.024,0.008,0.037,0.006,0.021,0.051,0.005,0.26,0.019
"P31","No sabe",0.008,0.015,0.012,0.045,0.008,0.067,0.037,0.126,0.171,0.565
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.842,0.654,0.058,0.135,0.065,0.194,0.178,0.076,0.058,0.112
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.054,0.112,0.523,0.67,0.171,0.118,0.087,0.076,0.174,0.064
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.05,0.102,0.265,0.097,0.686,0.196,0.042,0.168,0.155,0.154
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.017,0.055,0.007,0.012,0.03,0.372,0.125,0.099,0.039,0
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.005,0.013,0.015,0.019,0.011,0,0.523,0.064,0.007,0.041
"P32","Otros",0.016,0.035,0.066,0.021,0.022,0.052,0.012,0.43,0.018,0.098
"P32","En blanco",0.009,0.013,0.02,0.024,0.005,0.006,0.033,0.005,0.304,0.039
"P32","No sabe",0.007,0.016,0.046,0.022,0.01,0.062,0,0.082,0.245,0.492
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.84,0.667,0.097,0.173,0.123,0.29,0.283,0.22,0.088,0.148
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.071,0.15,0.824,0.679,0.582,0.245,0.205,0.082,0.109,0.136
"P33","En blanco",0.055,0.105,0.038,0.088,0.232,0.399,0.327,0.442,0.623,0.202
"P33","No sabe",0.034,0.078,0.041,0.06,0.063,0.066,0.185,0.256,0.18,0.514
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.138,0.133,0.684,0.637,0.389,0.172,0.185,0.106,0.177,0.079
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.067,0.187,0.241,0.122,0.546,0.156,0.264,0.145,0.282,0.172
"P34","En blanco",0.576,0.5,0.041,0.15,0.048,0.565,0.23,0.486,0.385,0.228
"P34","No sabe",0.219,0.18,0.034,0.091,0.017,0.107,0.321,0.263,0.156,0.521
