"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.381,0.377,0.51,0.343
"P05","Bastante",0.463,0.407,0.36,0.405
"P05","Poco",0.126,0.152,0.09,0.183
"P05","Nada",0.021,0.051,0.033,0.059
"P05","No sabe",0.009,0.013,0.007,0.01
"P06","Siempre",0.265,0.208,0.268,0.238
"P06","Casi siempre",0.462,0.413,0.434,0.479
"P06","Casi nunca",0.238,0.273,0.234,0.199
"P06","Nunca, pero esta es una excepción",0.035,0.106,0.064,0.084
"P08","Unión por la Patria",0.18,0.107,0.651,0.468
"P08","Juntos por el Cambio",0.692,0.28,0.16,0.216
"P08","Liberales",0.038,0.498,0.025,0.047
"P08","Izquierda",0.021,0.015,0.067,0.024
"P08","Otro",0.024,0.04,0.045,0.061
"P08","No sabe",0.045,0.06,0.052,0.184
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.132,0.042,0.586,0.479
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.053,0.031,0.199,0.105
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.477,0.293,0.084,0.177
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.278,0.034,0.02,0.02
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.02,0.575,0.015,0.038
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.007,0.004,0.034,0.023
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.012,0.003,0.008,0.012
"P15","Otros",0.007,0.005,0.024,0.038
"P15","En blanco",0.006,0.007,0.016,0.006
"P15","No sabe",0.008,0.006,0.014,0.102
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.137,0.062,0.531,0.431
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.069,0.061,0.195,0.13
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.386,0.354,0.078,0.17
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.283,0.084,0.046,0.059
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.085,0.379,0.029,0.041
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.005,0.019,0.036,0.02
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.004,0.012,0.004
"P24","Otros",0.009,0.012,0.022,0.032
"P24","En blanco",0.006,0.013,0.026,0.021
"P24","No sabe",0.012,0.012,0.025,0.092
"P25","Totalmente seguro",0.694,0.758,0.75,0.622
"P25","Bastante seguro",0.168,0.116,0.125,0.137
"P25","Algo seguro",0.086,0.083,0.082,0.088
"P25","Para nada seguro",0.052,0.043,0.043,0.153
"P26","Tiene Decidido que va a ir a votar",0.921,0.907,0.9,0.9
"P26","Tiene dudas sobre si va a ir a votar",0.044,0.07,0.068,0.06
"P26","Tiene Decidido que no va a ir a votar",0.035,0.023,0.032,0.04
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.195,0.052,0.743,0.551
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.622,0.312,0.083,0.191
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.037,0.602,0.029,0.037
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.019,0.004,0.066,0.029
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.025,0.007,0.013,0.004
"P31","Otros",0.056,0.013,0.038,0.056
"P31","En blanco",0.024,0.001,0.018,0.001
"P31","No sabe",0.022,0.009,0.01,0.131
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.185,0.055,0.734,0.552
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.687,0.152,0.046,0.067
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.034,0.732,0.035,0.047
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.023,0.002,0.063,0.02
