"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.477,0.385,0.37,0.292
"P05","Bastante",0.387,0.42,0.454,0.447
"P05","Poco",0.108,0.143,0.129,0.179
"P05","Nada",0.019,0.041,0.045,0.067
"P05","No sabe",0.009,0.011,0.002,0.015
"P06","Siempre",0.269,0.22,0.265,0.228
"P06","Casi siempre",0.449,0.436,0.447,0.438
"P06","Casi nunca",0.227,0.254,0.234,0.277
"P06","Nunca, pero esta es una excepción",0.055,0.09,0.054,0.057
"P08","Unión por la Patria",0.715,0.091,0.097,0.086
"P08","Juntos por el Cambio",0.153,0.421,0.627,0.646
"P08","Liberales",0.03,0.39,0.07,0.041
"P08","Izquierda",0.033,0.013,0.068,0.024
"P08","Otro",0.027,0.039,0.06,0.042
"P08","No sabe",0.042,0.046,0.078,0.161
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.668,0.014,0.052,0.079
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.195,0.016,0.051,0.03
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.05,0.416,0.48,0.429
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.038,0.08,0.241,0.267
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.009,0.454,0.048,0.023
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.003,0.043,0.017
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.002,0.019,0.016
"P15","Otros",0.011,0.004,0.027,0.026
"P15","En blanco",0.002,0.005,0.031,0.006
"P15","No sabe",0.008,0.006,0.008,0.107
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.579,0.049,0.104,0.06
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.199,0.063,0.056,0.045
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.045,0.369,0.4,0.482
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.079,0.15,0.232,0.175
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.043,0.324,0.064,0.048
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.023,0.013,0.03,0.016
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.005,0.001,0.022,0.017
"P24","Otros",0.013,0.009,0.024,0.03
"P24","En blanco",0.003,0.011,0.049,0.02
"P24","No sabe",0.011,0.011,0.019,0.107
"P25","Totalmente seguro",0.744,0.764,0.683,0.569
"P25","Bastante seguro",0.164,0.126,0.116,0.17
"P25","Algo seguro",0.068,0.073,0.115,0.095
"P25","Para nada seguro",0.024,0.037,0.086,0.166
"P26","Tiene Decidido que va a ir a votar",0.933,0.928,0.864,0.878
"P26","Tiene dudas sobre si va a ir a votar",0.05,0.054,0.083,0.069
"P26","Tiene Decidido que no va a ir a votar",0.017,0.018,0.053,0.053
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.837,0.034,0.063,0.081
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.046,0.456,0.629,0.566
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.018,0.481,0.067,0.042
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.037,0.006,0.064,0.022
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.014,0.004,0.026,0.029
"P31","Otros",0.036,0.006,0.076,0.072
"P31","En blanco",0.008,0.005,0.052,0.011
"P31","No sabe",0.004,0.008,0.023,0.177
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.832,0.023,0.073,0.076
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.059,0.338,0.563,0.577
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.017,0.585,0.067,0.034
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.031,0.01,0.061,0.017
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.01,0.007,0.033,0.025
"P32","Otros",0.022,0.015,0.098,0.08
"P32","En blanco",0.012,0.009,0.07,0.001
"P32","No sabe",0.017,0.013,0.035,0.19
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.877,0.045,0.099,0.067
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.067,0.757,0.582,0.606
"P33","En blanco",0.043,0.141,0.273,0.032
"P33","No sabe",0.013,0.057,0.046,0.295
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.179,0.457,0.598,0.587
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.517,0.087,0.047
"P34","En blanco",0.574,0.021,0.275,0.039
"P34","No sabe",0.195,0.005,0.04,0.327
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.882,0.054,0.072,0.079
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.603,0.565,0.561
"P35","En blanco",0.037,0.245,0.296,0.046
"P35","No sabe",0.01,0.098,0.067,0.314
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.249,0.297,0.522,0.523
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.67,0.099,0.062
"P36","En blanco",0.52,0.019,0.333,0.033
"P36","No sabe",0.174,0.014,0.046,0.382
"P47","Lo votaría",0.821,0.044,0.101,0.084
"P47","Puede que lo vote",0.08,0.117,0.092,0.037
"P47","Nunca lo votaría",0.076,0.82,0.789,0.749
"P47","No sabe",0.023,0.019,0.018,0.13
"P48","Lo votaría",0.549,0.021,0.085,0.055
"P48","Puede que lo vote",0.23,0.04,0.066,0.044
"P48","Nunca lo votaría",0.17,0.922,0.827,0.808
"P48","No sabe",0.051,0.017,0.022,0.093
"P49","Lo votaría",0.14,0.471,0.549,0.495
"P49","Puede que lo vote",0.049,0.247,0.1,0.139
"P49","Nunca lo votaría",0.788,0.251,0.319,0.252
"P49","No sabe",0.023,0.031,0.032,0.114
"P50","Lo votaría",0.098,0.308,0.459,0.504
"P50","Puede que lo vote",0.073,0.33,0.173,0.186
"P50","Nunca lo votaría",0.801,0.337,0.34,0.184
"P50","No sabe",0.028,0.025,0.028,0.126
"P51","Lo votaría",0.052,0.519,0.094,0.053
"P51","Puede que lo vote",0.05,0.333,0.097,0.132
"P51","Nunca lo votaría",0.885,0.124,0.773,0.66
"P51","No sabe",0.013,0.024,0.036,0.155
"P52","Lo votaría",0.097,0.059,0.076,0.014
"P52","Puede que lo vote",0.31,0.076,0.066,0.077
"P52","Nunca lo votaría",0.53,0.842,0.841,0.792
"P52","No sabe",0.063,0.023,0.017,0.117
"P53","Lo votaría",0.06,0.009,0.05,0.029
"P53","Puede que lo vote",0.167,0.147,0.136,0.174
"P53","Nunca lo votaría",0.696,0.806,0.77,0.689
"P53","No sabe",0.077,0.038,0.044,0.108
"P57","Si",0.544,0.53,0.49,0.47
"P57","No",0.456,0.47,0.51,0.53
