"var","categoria","Si","No"
"P05","Mucho",0.459,0.347
"P05","Bastante",0.418,0.447
"P05","Poco",0.102,0.143
"P05","Nada",0.019,0.042
"P05","No sabe",0.002,0.021
"P06","Siempre",0.322,0.178
"P06","Casi siempre",0.474,0.41
"P06","Casi nunca",0.161,0.32
"P06","Nunca, pero esta es una excepción",0.043,0.092
"P08","Unión por la Patria",0.345,0.289
"P08","Juntos por el Cambio",0.398,0.397
"P08","Liberales",0.159,0.171
"P08","Izquierda",0.023,0.038
"P08","Otro",0.031,0.046
"P08","No sabe",0.044,0.059
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.269,0.241
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.083,0.102
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.31,0.302
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.125,0.118
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.154,0.171
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.015,0.015
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.01,0.01
"P15","Otros",0.011,0.013
"P15","En blanco",0.006,0.008
"P15","No sabe",0.017,0.02
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.237,0.242
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.111,0.102
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.272,0.284
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.159,0.137
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.149,0.151
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.022
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.01,0.009
"P24","Otros",0.014,0.019
"P24","En blanco",0.013,0.011
"P24","No sabe",0.019,0.023
"P25","Totalmente seguro",0.763,0.705
"P25","Bastante seguro",0.114,0.152
"P25","Algo seguro",0.077,0.072
"P25","Para nada seguro",0.046,0.071
"P26","Tiene Decidido que va a ir a votar",0.937,0.906
"P26","Tiene dudas sobre si va a ir a votar",0.047,0.066
"P26","Tiene Decidido que no va a ir a votar",0.016,0.028
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.351,0.297
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.359,0.363
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.173,0.201
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.046
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.018,0.012
"P31","Otros",0.038,0.041
"P31","En blanco",0.016,0.013
"P31","No sabe",0.024,0.027
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.341,0.298
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.313,0.308
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.213,0.242
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.042
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.014,0.019
"P32","Otros",0.043,0.038
"P32","En blanco",0.019,0.02
"P32","No sabe",0.036,0.033
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.367,0.328
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.485,0.465
"P33","En blanco",0.097,0.13
"P33","No sabe",0.051,0.077
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.418,0.378
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.209,0.236
"P34","En blanco",0.264,0.279
"P34","No sabe",0.109,0.107
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.376,0.326
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.408,0.404
"P35","En blanco",0.137,0.181
"P35","No sabe",0.079,0.089
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.365,0.32
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.277,0.293
"P36","En blanco",0.247,0.268
"P36","No sabe",0.111,0.119
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.374,0.342
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.37,0.357
"P37","En blanco",0.155,0.176
"P37","No sabe",0.101,0.125
"P47","Lo votaría",0.373,0.294
"P47","Puede que lo vote",0.061,0.107
"P47","Nunca lo votaría",0.533,0.564
"P47","No sabe",0.033,0.035
"P48","Lo votaría",0.223,0.216
"P48","Puede que lo vote",0.11,0.118
"P48","Nunca lo votaría",0.629,0.627
"P48","No sabe",0.038,0.039
"P49","Lo votaría",0.37,0.37
"P49","Puede que lo vote",0.134,0.134
"P49","Nunca lo votaría",0.462,0.457
"P49","No sabe",0.034,0.039
"P50","Lo votaría",0.281,0.282
"P50","Puede que lo vote",0.193,0.196
"P50","Nunca lo votaría",0.499,0.48
"P50","No sabe",0.027,0.042
"P51","Lo votaría",0.214,0.236
"P51","Puede que lo vote",0.16,0.182
"P51","Nunca lo votaría",0.598,0.544
"P51","No sabe",0.028,0.038
"P52","Lo votaría",0.057,0.08
"P52","Puede que lo vote",0.161,0.159
"P52","Nunca lo votaría",0.735,0.716
"P52","No sabe",0.047,0.045
"P53","Lo votaría",0.047,0.027
"P53","Puede que lo vote",0.141,0.171
"P53","Nunca lo votaría",0.749,0.74
"P53","No sabe",0.063,0.062
