"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.449,0.287,0.266,0.175
"P05","Bastante",0.388,0.523,0.355,0.374
"P05","Poco",0.122,0.166,0.282,0.268
"P05","Nada",0.03,0.021,0.09,0.162
"P05","No sabe",0.011,0.003,0.007,0.021
"P06","Siempre",0.272,0.161,0.167,0.13
"P06","Casi siempre",0.403,0.501,0.394,0.378
"P06","Casi nunca",0.244,0.266,0.357,0.328
"P06","Nunca, pero esta es una excepción",0.081,0.072,0.082,0.164
"P08","Unión por la Patria",0.363,0.32,0.241,0.091
"P08","Juntos por el Cambio",0.376,0.414,0.295,0.167
"P08","Liberales",0.168,0.131,0.159,0.067
"P08","Izquierda",0.026,0.029,0.031,0.055
"P08","Otro",0.033,0.047,0.114,0.118
"P08","No sabe",0.034,0.059,0.16,0.502
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.302,0.275,0.243,0.133
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.09,0.142,0.076,0.038
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.289,0.257,0.234,0.135
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.095,0.149,0.157,0.119
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.185,0.126,0.149,0.121
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.018,0.019,0.046
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.005,0.005,0.027,0.017
"P15","Otros",0.011,0.01,0.053,0.085
"P15","En blanco",0.007,0.011,0.007,0.06
"P15","No sabe",0.005,0.007,0.035,0.246
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.281,0.223,0.242,0.172
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.109,0.174,0.093,0.03
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.272,0.214,0.295,0.184
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.123,0.185,0.133,0.118
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.153,0.119,0.116,0.047
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.028,0.027,0.04
