"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.408,0.221,0.175
"P05","Bastante",0.409,0.415,0.237
"P05","Poco",0.143,0.255,0.273
"P05","Nada",0.031,0.103,0.276
"P05","No sabe",0.009,0.006,0.039
"P06","Siempre",0.244,0.151,0.202
"P06","Casi siempre",0.42,0.404,0.271
"P06","Casi nunca",0.257,0.347,0.278
"P06","Nunca, pero esta es una excepción",0.079,0.098,0.249
"P08","Unión por la Patria",0.34,0.209,0.123
"P08","Juntos por el Cambio",0.369,0.282,0.188
"P08","Liberales",0.155,0.164,0.131
"P08","Izquierda",0.027,0.032,0.084
"P08","Otro",0.039,0.133,0.153
"P08","No sabe",0.07,0.18,0.321
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.288,0.229,0.135
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.088,0.143,0.084
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.272,0.185,0.224
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.111,0.132,0.064
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.173,0.132,0.139
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.024,0.06
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.007,0.006,0.047
"P15","Otros",0.018,0.021,0.1
"P15","En blanco",0.007,0.058,0.075
"P15","No sabe",0.022,0.07,0.072
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.269,0.209,0.174
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.111,0.13,0.059
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.266,0.165,0.257
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.13,0.168,0.108
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.139,0.12,0.078
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.019,0.031,0.042
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.007,0.003,0.02
"P24","Otros",0.02,0.031,0.068
"P24","En blanco",0.012,0.049,0.078
"P24","No sabe",0.027,0.094,0.116
"P25","Totalmente seguro",0.74,0.156,0.284
"P25","Bastante seguro",0.124,0.433,0.018
"P25","Algo seguro",0.071,0.205,0.392
"P25","Para nada seguro",0.065,0.206,0.306
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.362,0.265,0.221
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.331,0.32,0.227
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.18,0.206,0.126
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.028,0.056,0.068
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.012,0.003,0.066
"P31","Otros",0.044,0.027,0.047
"P31","En blanco",0.014,0.031,0.049
"P31","No sabe",0.029,0.092,0.196
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.358,0.236,0.267
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.29,0.26,0.218
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.216,0.256,0.128
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.03,0.023,0.018
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.014,0.033,0.073
"P32","Otros",0.043,0.045,0.069
"P32","En blanco",0.015,0.06,0.05
"P32","No sabe",0.034,0.087,0.177
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.378,0.281,0.314
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.46,0.392,0.244
"P33","En blanco",0.102,0.189,0.274
"P33","No sabe",0.06,0.138,0.168
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.351,0.302
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.215,0.3,0.2
"P34","En blanco",0.266,0.266,0.254
"P34","No sabe",0.12,0.083,0.244
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.372,0.301,0.257
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.395,0.373,0.377
"P35","En blanco",0.149,0.213,0.208
"P35","No sabe",0.084,0.113,0.158
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.346,0.255,0.375
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.281,0.33,0.208
"P36","En blanco",0.252,0.291,0.261
"P36","No sabe",0.121,0.124,0.156
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.382,0.321,0.23
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.36,0.325,0.241
"P37","En blanco",0.147,0.219,0.303
"P37","No sabe",0.111,0.135,0.226
"P47","Lo votaría",0.349,0.251,0.327
"P47","Puede que lo vote",0.08,0.252,0.079
"P47","Nunca lo votaría",0.541,0.454,0.49
"P47","No sabe",0.03,0.043,0.104
"P48","Lo votaría",0.228,0.232,0.218
"P48","Puede que lo vote",0.109,0.219,0.047
"P48","Nunca lo votaría",0.629,0.513,0.517
"P48","No sabe",0.034,0.036,0.218
"P49","Lo votaría",0.374,0.3,0.231
"P49","Puede que lo vote",0.132,0.196,0.214
"P49","Nunca lo votaría",0.46,0.447,0.409
"P49","No sabe",0.034,0.057,0.146
"P50","Lo votaría",0.285,0.201,0.247
"P50","Puede que lo vote",0.187,0.273,0.241
"P50","Nunca lo votaría",0.494,0.484,0.314
"P50","No sabe",0.034,0.042,0.198
"P51","Lo votaría",0.226,0.22,0.157
"P51","Puede que lo vote",0.167,0.181,0.126
"P51","Nunca lo votaría",0.575,0.544,0.527
"P51","No sabe",0.032,0.055,0.19
"P52","Lo votaría",0.069,0.064,0.157
"P52","Puede que lo vote",0.156,0.234,0.13
"P52","Nunca lo votaría",0.729,0.657,0.614
"P52","No sabe",0.046,0.045,0.099
"P53","Lo votaría",0.036,0.03,0.076
"P53","Puede que lo vote",0.147,0.302,0.158
"P53","Nunca lo votaría",0.759,0.572,0.663
"P53","No sabe",0.058,0.096,0.103
"P57","Si",0.53,0.44,0.383
"P57","No",0.47,0.56,0.617
