"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.778,0.304,0.142,0.199
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.138,0.521,0.181,0.271
"P34","En blanco",0.065,0.083,0.511,0.125
"P34","No sabe",0.019,0.092,0.166,0.405
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.113,0.121,0.646,0.208
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.701,0.525,0.15,0.209
"P35","En blanco",0.115,0.251,0.156,0.103
"P35","No sabe",0.071,0.103,0.048,0.48
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.581,0.306,0.208,0.187
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.275,0.524,0.185,0.273
"P36","En blanco",0.087,0.087,0.461,0.147
"P36","No sabe",0.057,0.083,0.146,0.393
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.139,0.129,0.626,0.22
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.455,0.633,0.194,0.292
"P37","En blanco",0.249,0.121,0.116,0.141
"P37","No sabe",0.157,0.117,0.064,0.347
"P47","Lo votaría",0.112,0.107,0.604,0.196
"P47","Puede que lo vote",0.031,0.105,0.111,0.164
"P47","Nunca lo votaría",0.842,0.768,0.257,0.316
"P47","No sabe",0.015,0.02,0.028,0.324
"P48","Lo votaría",0.123,0.036,0.375,0.115
"P48","Puede que lo vote",0.017,0.122,0.189,0.071
"P48","Nunca lo votaría",0.857,0.835,0.399,0.304
"P48","No sabe",0.003,0.007,0.037,0.51
"P50","Lo votaría",0.541,0.191,0.109,0.115
"P50","Puede que lo vote",0.248,0.412,0.09,0.114
"P50","Nunca lo votaría",0.19,0.391,0.775,0.297
"P50","No sabe",0.021,0.006,0.026,0.474
"P51","Lo votaría",0.224,0.439,0.161,0.191
"P51","Puede que lo vote",0.291,0.195,0.066,0.097
"P51","Nunca lo votaría",0.448,0.348,0.76,0.322
"P51","No sabe",0.037,0.018,0.013,0.39
"P52","Lo votaría",0.046,0.063,0.095,0.045
"P52","Puede que lo vote",0.079,0.11,0.249,0.069
"P52","Nunca lo votaría",0.855,0.79,0.609,0.541
"P52","No sabe",0.02,0.037,0.047,0.345
"P53","Lo votaría",0.041,0.033,0.027,0.12
"P53","Puede que lo vote",0.173,0.205,0.127,0.161
"P53","Nunca lo votaría",0.741,0.72,0.789,0.369
"P53","No sabe",0.045,0.042,0.057,0.35
"P57","Si",0.524,0.525,0.528,0.488
"P57","No",0.476,0.475,0.472,0.512
