"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Siempre",0.195,0.219,0.172,0.145,0.201,0.204,0.27,0.247,0.158,0.177,0.302,0.269,0.199,0.172,0.167,0.314,0.121,0.137,0.308,0.341,0
"Casi siempre",0.305,0.28,0.33,0.272,0.266,0.397,0.338,0.254,0.323,0.352,0.294,0.429,0.457,0.395,0.278,0.364,0.525,0.251,0.218,0.218,0.568
"Casi nunca",0.312,0.318,0.305,0.334,0.351,0.259,0.244,0.317,0.312,0.302,0.266,0.148,0.233,0.271,0.362,0.208,0.225,0.492,0.209,0.236,0.053
"Nunca, pero esta es una excepción",0.188,0.183,0.193,0.249,0.182,0.14,0.148,0.182,0.207,0.169,0.138,0.154,0.111,0.162,0.193,0.114,0.129,0.12,0.265,0.205,0.379
