"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Mucho",0.368,0.407,0.331,0.357,0.36,0.396,0.371,0.353,0.338,0.436,0.43,0.41,0.42,0.387,0.361,0.432,0.323,0.442,0.569,0.596,0.568
"Bastante",0.305,0.293,0.317,0.338,0.302,0.299,0.256,0.241,0.337,0.351,0.296,0.41,0.388,0.348,0.34,0.33,0.406,0.312,0.263,0.21,0.134
"Poco",0.197,0.179,0.214,0.176,0.213,0.185,0.218,0.242,0.184,0.151,0.198,0.131,0.131,0.142,0.172,0.163,0.192,0.138,0.108,0.134,0.094
"Nada",0.088,0.08,0.095,0.087,0.086,0.077,0.108,0.105,0.105,0.037,0.037,0.04,0.04,0.053,0.104,0.039,0.067,0.079,0.033,0.06,0.204
"No sabe",0.042,0.041,0.043,0.042,0.039,0.043,0.047,0.059,0.036,0.025,0.039,0.009,0.021,0.07,0.023,0.036,0.012,0.029,0.027,0,0
