"var","categoria","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda","En blanco"
"P05","Mucho",0.415,0.367,0.443,0.319,0.385,0.191
"P05","Bastante",0.342,0.329,0.307,0.259,0.349,0.442
"P05","Poco",0.184,0.15,0.141,0.198,0.187,0.196
"P05","Nada",0.048,0.088,0.083,0.134,0.055,0.123
"P05","No sabe",0.011,0.066,0.026,0.09,0.024,0.048
"P06","Siempre",0.208,0.195,0.319,0.141,0.201,0.145
"P06","Casi siempre",0.415,0.323,0.268,0.349,0.179,0.364
"P06","Casi nunca",0.247,0.272,0.285,0.257,0.415,0.342
"P06","Nunca, pero esta es una excepción",0.13,0.21,0.128,0.253,0.205,0.149
"P12","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.504,0.46,0.348,0.424,0.395,0.566
"P12","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar",0.244,0.213,0.146,0.144,0.067,0.096
"P12","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.157,0.152,0.342,0.107,0.177,0.054
"P12","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.022,0.075,0.098,0.119,0.103,0.133
"P12","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.018,0.01,0.037,0.012,0.212,0.023
"P12","No sabe",0.055,0.09,0.029,0.194,0.046,0.128
"P13","Totalmente seguro",0.626,0.627,0.666,0.428,0.548,0.617
"P13","Bastante seguro",0.175,0.158,0.113,0.237,0.231,0.038
"P13","Algo seguro",0.112,0.095,0.118,0.145,0.156,0.074
"P13","Para nada seguro",0.087,0.12,0.103,0.19,0.065,0.271
"P14","Tiene Decidido que va a ir a votar",0.863,0.872,0.892,0.703,0.876,0.822
"P14","Tiene dudas sobre si va a ir a  votar",0.102,0.071,0.096,0.152,0.102,0.096
"P14","Tiene Decidido que no va a ir a votar",0.035,0.057,0.012,0.145,0.022,0.082
"P18","Lo votaría",0.651,0.127,0.13,0.054,0.113,0.144
"P18","Puede que lo vote",0.176,0.189,0.154,0.196,0.143,0.194
"P18","Nunca lo votaría",0.114,0.63,0.644,0.592,0.625,0.445
"P18","No sabe",0.059,0.054,0.072,0.158,0.119,0.217
"P19","Lo votaría",0.135,0.572,0.126,0.05,0.124,0.089
"P19","Puede que lo vote",0.15,0.236,0.144,0.275,0.204,0.31
"P19","Nunca lo votaría",0.637,0.161,0.619,0.539,0.57,0.414
"P19","No sabe",0.078,0.031,0.111,0.136,0.102,0.187
"P20","Lo votaría",0.096,0.109,0.54,0.112,0.062,0.033
"P20","Puede que lo vote",0.095,0.151,0.18,0.113,0.254,0.262
"P20","Nunca lo votaría",0.752,0.663,0.248,0.583,0.456,0.442
"P20","No sabe",0.057,0.077,0.032,0.192,0.228,0.263
"P21","Lo votaría",0.079,0.1,0.167,0.284,0.018,0.032
"P21","Puede que lo vote",0.123,0.128,0.185,0.145,0.02,0.209
"P21","Nunca lo votaría",0.729,0.658,0.571,0.269,0.504,0.492
"P21","No sabe",0.069,0.114,0.077,0.302,0.458,0.267
"P22","Lo votaría",0.071,0.067,0.137,0.011,0.355,0.029
"P22","Puede que lo vote",0.083,0.109,0.182,0.115,0.138,0.259
"P22","Nunca lo votaría",0.797,0.739,0.578,0.641,0.313,0.464
"P22","No sabe",0.049,0.085,0.103,0.233,0.194,0.248
"P23","Si",0.443,0.411,0.366,0.259,0.377,0.488
"P23","No",0.557,0.589,0.634,0.741,0.623,0.512
"P15_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.082,0.254,0.593,0.174,0.292,0.114
"P15_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.546,0.199,0.177,0.18,0.131,0.187
"P15_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.319,0.535,0.206,0.513,0.45,0.54
"P15_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.001,0.001,0.069,0.104,0.083
"P15_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.013,0.011,0.012,0.039,0.023,0.005
"P15_imputada","En blanco",0.028,0,0.011,0.025,0,0.071
