"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.224,0.24,0.209,0.242,0.231,0.213,0.191,0.211,0.219,0.251,0.657,0.335,0.078,0.165,0.081,0.15,0.127,0.307,0.75,0.643,0.807
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.297,0.272,0.321,0.167,0.3,0.374,0.435,0.28,0.291,0.328,0.163,0.232,0.737,0.396,0.078,0.508,0.465,0.143,0.059,0.073,0.032
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.374,0.417,0.331,0.507,0.371,0.299,0.221,0.361,0.399,0.354,0.142,0.359,0.154,0.262,0.789,0.291,0.347,0.495,0.157,0.263,0.161
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.011,0.029,0.031,0.014,0.011,0.025,0.022,0.025,0.011,0.01,0.016,0.003,0.098,0,0.018,0.008,0.001,0.004,0,0
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.01,0.009,0.01,0.004,0.007,0.015,0.021,0.008,0.007,0.017,0.007,0.008,0,0.013,0.006,0.004,0.004,0.013,0,0.021,0
"En blanco",0.018,0.01,0.027,0,0.02,0.018,0.05,0.035,0.012,0.003,0,0,0.007,0.042,0.003,0.012,0.013,0,0,0,0
"No sabe",0.057,0.041,0.073,0.049,0.057,0.07,0.057,0.083,0.047,0.036,0.021,0.05,0.021,0.024,0.043,0.017,0.036,0.041,0.03,0,0
