"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.409,0.247,0.144
"P05","Bastante",0.36,0.219,0.217
"P05","Poco",0.151,0.238,0.254
"P05","Nada",0.045,0.24,0.261
"P05","No sabe",0.035,0.056,0.124
"P06","Siempre",0.217,0.239,0.093
"P06","Casi siempre",0.351,0.35,0.261
"P06","Casi nunca",0.262,0.253,0.474
"P06","Nunca, pero esta es una excepción",0.17,0.158,0.172
"P09","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.313,0.286,0.133
"P09","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.266,0.181,0.209
"P09","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.151,0.114,0.042
"P09","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.024,0.06,0.125
"P09","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.056,0.061,0.031
"P09","En blanco",0.065,0.039,0.142
"P09","No sabe",0.125,0.259,0.318
"P12","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.464,0.454,0.457
"P12","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar",0.189,0.186,0.121
"P12","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.188,0.134,0.084
"P12","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.071,0.088,0.037
"P12","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.027,0.054,0.003
"P12","No sabe",0.061,0.084,0.298
"P13","Totalmente seguro",0.684,0.186,0.227
"P13","Bastante seguro",0.137,0.374,0.052
"P13","Algo seguro",0.094,0.116,0.42
"P13","Para nada seguro",0.085,0.324,0.301
"P15","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.236,0.182,0.089
"P15","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.297,0.251,0.37
"P15","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.392,0.279,0.234
"P15","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.022,0.018
"P15","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.01,0.01,0
"P15","En blanco",0.009,0.068,0.095
"P15","No sabe",0.036,0.188,0.194
"P18","Lo votaría",0.346,0.144,0.059
"P18","Puede que lo vote",0.16,0.265,0.364
"P18","Nunca lo votaría",0.417,0.476,0.502
"P18","No sabe",0.077,0.115,0.075
"P19","Lo votaría",0.269,0.124,0.178
"P19","Puede que lo vote",0.182,0.247,0.343
"P19","Nunca lo votaría",0.473,0.468,0.439
"P19","No sabe",0.076,0.161,0.04
"P20","Lo votaría",0.179,0.115,0.068
"P20","Puede que lo vote",0.137,0.209,0.226
"P20","Nunca lo votaría",0.601,0.558,0.554
"P20","No sabe",0.083,0.118,0.152
"P21","Lo votaría",0.098,0.106,0.195
"P21","Puede que lo vote",0.135,0.159,0.131
"P21","Nunca lo votaría",0.644,0.591,0.463
"P21","No sabe",0.123,0.144,0.211
"P22","Lo votaría",0.095,0.08,0.007
"P22","Puede que lo vote",0.114,0.166,0.28
"P22","Nunca lo votaría",0.698,0.649,0.481
"P22","No sabe",0.093,0.105,0.232
"P23","Si",0.423,0.334,0.276
"P23","No",0.577,0.666,0.724
"P09_imputada","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.356,0.387,0.272
"P09_imputada","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.302,0.227,0.377
"P09_imputada","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.165,0.165,0.042
"P09_imputada","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.035,0.069,0.135
"P09_imputada","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.067,0.072,0.032
"P09_imputada","En blanco",0.075,0.08,0.142
"P15_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.243,0.202,0.139
"P15_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.313,0.293,0.37
"P15_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.401,0.394,0.363
"P15_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.022,0.017
"P15_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.013,0.021,0.007
"P15_imputada","En blanco",0.009,0.068,0.104
