"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.296,0.288,0.303,0.196,0.299,0.36,0.392,0.245,0.299,0.36,0.21,0.179,0.601,0.375,0.219,0.665,0.341,0.131,0.079,0.021,0
"Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.252,0.304,0.202,0.236,0.287,0.271,0.174,0.294,0.201,0.271,0.326,0.242,0.171,0.304,0.298,0.127,0.307,0.588,0.196,0.237,0.082
"Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.141,0.12,0.161,0.144,0.144,0.11,0.171,0.107,0.151,0.172,0.319,0.39,0.084,0.114,0.043,0.074,0.136,0.112,0.583,0.588,0.152
"Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.035,0.028,0.041,0.004,0.037,0.046,0.074,0.032,0.037,0.035,0.021,0.021,0.015,0.132,0.044,0.022,0.033,0.017,0.022,0.024,0.069
"Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.062,0.074,0.051,0.102,0.059,0.027,0.039,0.083,0.056,0.043,0.056,0.055,0.027,0.006,0.11,0.031,0.031,0.063,0.034,0.088,0.067
"En blanco",0.068,0.077,0.061,0.109,0.048,0.053,0.061,0.067,0.087,0.043,0.026,0.014,0.03,0.05,0.102,0.03,0.044,0.011,0.029,0.015,0.46
"No sabe",0.146,0.109,0.181,0.209,0.126,0.133,0.089,0.172,0.169,0.076,0.042,0.099,0.072,0.019,0.184,0.051,0.108,0.078,0.057,0.027,0.17
