"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.234,0.242,0.226,0.252,0.231,0.226,0.219,0.226,0.223,0.263,0.674,0.335,0.083,0.165,0.081,0.15,0.135,0.318,0.763,0.643,0.807
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.314,0.277,0.349,0.173,0.325,0.404,0.439,0.301,0.305,0.344,0.167,0.261,0.753,0.42,0.095,0.526,0.489,0.148,0.066,0.073,0.032
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.399,0.45,0.35,0.54,0.4,0.323,0.228,0.403,0.421,0.361,0.142,0.38,0.154,0.262,0.815,0.29,0.351,0.52,0.16,0.263,0.161
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.011,0.031,0.031,0.016,0.011,0.025,0.022,0.027,0.011,0.01,0.016,0.003,0.098,0,0.018,0.008,0.001,0.004,0,0
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.013,0.01,0.016,0.004,0.008,0.018,0.036,0.013,0.01,0.018,0.007,0.008,0,0.013,0.006,0.004,0.004,0.013,0,0.021,0
"En blanco",0.019,0.01,0.028,0,0.02,0.018,0.053,0.035,0.014,0.003,0,0,0.007,0.042,0.003,0.012,0.013,0,0.007,0,0
