"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.675,0.63,0.526,0.571,0.547,0.468,0.24,0.538,0.545,0.272
"P05","Bastante",0.221,0.241,0.322,0.291,0.277,0.398,0.285,0.194,0.268,0.351
"P05","Poco",0.063,0.074,0.105,0.11,0.117,0.084,0.165,0.155,0.143,0.293
"P05","Nada",0.025,0.036,0.036,0.022,0.037,0.015,0.31,0.022,0.044,0.035
"P05","No sabe",0.016,0.019,0.011,0.006,0.022,0.035,0,0.091,0,0.049
"P06","Siempre",0.267,0.269,0.312,0.29,0.319,0.239,0.325,0.243,0.227,0.194
"P06","Casi siempre",0.391,0.395,0.395,0.397,0.412,0.329,0.119,0.312,0.301,0.257
"P06","Casi nunca",0.26,0.281,0.245,0.254,0.191,0.225,0.41,0.253,0.417,0.378
"P06","Nunca, pero esta es una excepción",0.082,0.055,0.048,0.059,0.078,0.207,0.146,0.192,0.055,0.171
"P08","Unión por la Patria",0.681,0.697,0.119,0.152,0.136,0.272,0.073,0.135,0.108,0.094
"P08","Juntos por el Cambio",0.219,0.17,0.648,0.707,0.442,0.059,0.1,0.111,0.345,0.331
"P08","Liberales",0.029,0.049,0.187,0.043,0.289,0.029,0.092,0.05,0.155,0.012
"P08","Izquierda",0.028,0.039,0.003,0.013,0.026,0.372,0.423,0.049,0.174,0.044
"P08","Otro",0.008,0.017,0.013,0.036,0.042,0.099,0.108,0.333,0.079,0.019
"P08","No sabe",0.035,0.028,0.03,0.049,0.065,0.169,0.204,0.322,0.139,0.5
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.512,0.605,0.028,0.079,0.027,0.156,0.091,0.02,0.116,0.053
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.242,0.196,0.016,0.029,0.025,0.229,0.1,0.082,0.009,0.046
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.068,0.472,0.526,0.432,0,0.032,0.049,0.22,0.125
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.092,0.022,0.235,0.249,0.076,0.044,0.097,0.031,0.081,0.075
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.076,0.056,0.233,0.066,0.379,0.101,0.186,0.068,0.155,0
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.038,0.005,0.018,0.026,0.258,0.211,0.024,0.111,0.025
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0,0.007,0.006,0.015,0.011,0.19,0.066,0.013,0.071
"P09","Otros",0,0.011,0,0.008,0.007,0.156,0.013,0.478,0.079,0.013
