"var","categoria","Leandro Santoro por Unión por la Patria","Martin Lousteau por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.719,0.496,0.601,0.514
"P05","Bastante",0.205,0.382,0.235,0.307
"P05","Poco",0.054,0.1,0.123,0.099
"P05","Nada",0.014,0.014,0.034,0.055
"P05","No sabe",0.008,0.008,0.007,0.025
"P06","Siempre",0.268,0.275,0.294,0.37
"P06","Casi siempre",0.448,0.439,0.383,0.43
"P06","Casi nunca",0.235,0.243,0.246,0.177
"P06","Nunca, pero esta es una excepción",0.049,0.043,0.077,0.023
"P08","Unión por la Patria",0.756,0.114,0.112,0.102
"P08","Juntos por el Cambio",0.137,0.73,0.358,0.586
"P08","Liberales",0.037,0.105,0.365,0.06
"P08","Izquierda",0.037,0.006,0.071,0.044
"P08","Otro",0.01,0.008,0.058,0.037
"P08","No sabe",0.023,0.037,0.036,0.171
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.576,0.038,0.052,0.089
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.273,0.018,0.023,0.032
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.022,0.533,0.353,0.411
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.014,0.265,0.04,0.157
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.061,0.107,0.404,0.094
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.003,0.058,0.037
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.006,0.011,0.043
"P09","Otros",0.006,0.003,0.041,0.018
"P09","En blanco",0.001,0.006,0.003,0.017
"P09","No sabe",0.003,0.021,0.015,0.102
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.717,0.037,0.041,0.11
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.063,0.461,0.306,0.436
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.082,0.359,0.07,0.053
"P12","Ramiro Marra por la Libertad Avanza",0.057,0.06,0.344,0.079
"P12","Vanina Biasi por el Frente de Izquierda",0.033,0.044,0.091,0.055
"P12","Otros",0.016,0.013,0.059,0.112
"P12","En blanco",0.018,0.013,0.041,0
"P12","No sabe",0.014,0.013,0.048,0.155
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.47,0.076,0.08,0.067
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.313,0.038,0.035,0.084
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.071,0.392,0.406,0.401
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.055,0.282,0.072,0.112
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.164,0.273,0.145
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.039,0.002,0.033,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.004,0.011,0.051
"P18","Otros",0.011,0.006,0.045,0.023
"P18","En blanco",0.003,0.012,0.045,0.023
"P18","No sabe",0.012,0.024,0,0.094
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.514,0.067,0.082,0.148
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.057,0.33,0.319,0.28
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.123,0.377,0.037,0.133
"P21","Ramiro Marra por la Libertad Avanza",0.057,0.108,0.217,0.144
"P21","Vanina Biasi por el Frente de Izquierda",0.104,0.029,0.086,0.035
"P21","Otros",0.087,0.025,0.061,0.057
"P21","En blanco",0.031,0.024,0.135,0.018
"P21","No sabe",0.027,0.04,0.063,0.185
"P25","Totalmente seguro",0.728,0.663,0.747,0.676
"P25","Bastante seguro",0.195,0.212,0.095,0.117
"P25","Algo seguro",0.043,0.088,0.104,0.059
"P25","Para nada seguro",0.034,0.037,0.054,0.148
"P26","Tiene Decidido que va a ir a votar",0.923,0.917,0.909,0.868
"P26","Tiene dudas sobre si va a ir a votar",0.054,0.054,0.029,0.092
"P26","Tiene Decidido que no va a ir a votar",0.023,0.029,0.062,0.04
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.828,0.078,0.081,0.076
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.667,0.376,0.495
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.118,0.395,0.122
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.049,0.006,0.077,0.09
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.022,0.014,0.072
"P27","Otros",0.019,0.039,0.032,0.046
"P27","En blanco",0.005,0.018,0.017,0.011
"P27","No sabe",0.01,0.052,0.008,0.088
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.826,0.063,0.065,0.064
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.035,0.65,0.154,0.306
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.183,0.553,0.168
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.008,0.073,0.091
