"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.667,0.5,0.576,0.489,0.512,0.268
"P05","Bastante",0.224,0.338,0.245,0.22,0.187,0.245
"P05","Poco",0.074,0.139,0.104,0.132,0.146,0.277
"P05","Nada",0.023,0.016,0.054,0.116,0.093,0.128
"P05","No sabe",0.012,0.007,0.021,0.043,0.062,0.082
"P06","Siempre",0.303,0.267,0.281,0.336,0.324,0.185
"P06","Casi siempre",0.359,0.429,0.332,0.265,0.207,0.24
"P06","Casi nunca",0.277,0.255,0.283,0.26,0.285,0.348
"P06","Nunca, pero esta es una excepción",0.061,0.049,0.104,0.139,0.184,0.227
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.541,0.079,0.019,0.067,0.046,0.074
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.232,0.033,0.012,0.076,0.023,0.027
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.568,0.096,0.055,0.051,0.069
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.27,0.015,0.036,0.072,0.05
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.089,0.025,0.827,0.023,0.136,0.158
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.001,0.01,0.503,0.081,0.013
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.006,0.008,0.003,0.058,0.084,0.036
"P09","Otros",0.003,0.004,0.008,0.115,0.409,0.077
"P09","En blanco",0.006,0.003,0.004,0.056,0.091,0.153
"P09","No sabe",0.01,0.009,0.006,0.011,0.007,0.343
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.656,0.072,0.039,0.189,0.131,0.11
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.113,0.506,0.185,0.064,0.16,0.082
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.103,0.285,0.133,0.076,0.18,0.188
"P12","Ramiro Marra por la Libertad Avanza",0.045,0.059,0.501,0.058,0.038,0.046
"P12","Vanina Biasi por el Frente de Izquierda",0.045,0.029,0.064,0.266,0.074,0.027
"P12","Otros",0.013,0.019,0.035,0.151,0.183,0.079
"P12","En blanco",0.01,0.013,0.028,0.049,0.09,0.145
"P12","No sabe",0.015,0.017,0.015,0.147,0.144,0.323
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.424,0.097,0.049,0.14,0.041,0.091
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.279,0.048,0.052,0.126,0.059,0.047
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.105,0.404,0.442,0.018,0.098,0.109
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.078,0.256,0.06,0.053,0.153,0.103
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.057,0.132,0.328,0.087,0.149,0.113
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.003,0.005,0.2,0.056,0.047
