"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.689,0.546,0.508,0.602,0.555,0.516,0.591,0.496
"P05","Bastante",0.204,0.293,0.305,0.271,0.356,0.273,0.267,0.327
"P05","Poco",0.06,0.119,0.121,0.094,0.059,0.105,0.115,0.123
"P05","Nada",0.036,0.037,0.042,0.033,0.03,0.05,0.027,0.014
"P05","No sabe",0.011,0.005,0.024,0,0,0.056,0,0.04
"P06","Siempre",0.299,0.319,0.258,0.349,0.253,0.247,0.225,0.279
"P06","Casi siempre",0.409,0.446,0.356,0.343,0.396,0.412,0.467,0.214
"P06","Casi nunca",0.23,0.197,0.312,0.238,0.258,0.241,0.248,0.37
"P06","Nunca, pero esta es una excepción",0.062,0.038,0.074,0.07,0.093,0.1,0.06,0.137
"P08","Unión por la Patria",0.698,0.108,0.197,0.207,0.49,0.418,0.244,0.09
"P08","Juntos por el Cambio",0.19,0.687,0.614,0.373,0.15,0.213,0.406,0.324
"P08","Liberales",0.046,0.136,0.076,0.364,0.069,0.108,0.117,0.133
"P08","Izquierda",0.019,0.009,0.036,0.005,0.204,0.084,0.064,0.018
"P08","Otro",0.015,0.011,0.023,0.014,0.072,0.101,0.018,0.099
"P08","No sabe",0.032,0.049,0.054,0.037,0.015,0.076,0.151,0.336
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.518,0.066,0.096,0.074,0.323,0.296,0.23,0.084
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.235,0.012,0.078,0.031,0.192,0.103,0.038,0.028
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.492,0.399,0.339,0.083,0.14,0.299,0.173
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.047,0.215,0.272,0.076,0.087,0.049,0.081,0.095
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.084,0.17,0.073,0.451,0.073,0.192,0.175,0.185
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.016,0,0.027,0.01,0.165,0.09,0.049,0.007
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.01,0.023,0.006,0.008,0.021,0.025,0.035
"P09","Otros",0.005,0.004,0.011,0,0.064,0.092,0.011,0.121
"P09","En blanco",0.001,0.012,0.001,0.013,0,0.017,0.081,0.026
"P09","No sabe",0.012,0.019,0.02,0,0.005,0,0.011,0.246
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.617,0.027,0.184,0.123,0.475,0.366,0.165,0.134
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.065,0.456,0.407,0.39,0.051,0.144,0.287,0.184
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.137,0.301,0.256,0.15,0.16,0.102,0.026,0.131
"P12","Ramiro Marra por la Libertad Avanza",0.078,0.128,0.061,0.262,0.065,0.104,0.085,0.084
"P12","Vanina Biasi por el Frente de Izquierda",0.049,0.029,0.057,0.046,0.173,0.086,0.028,0.008
"P12","Otros",0.017,0.015,0.014,0.015,0.013,0.14,0.078,0.113
"P12","En blanco",0.019,0.024,0.002,0.014,0.012,0.016,0.279,0.023
"P12","No sabe",0.018,0.02,0.019,0,0.051,0.042,0.052,0.323
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.481,0.072,0.136,0.112,0.209,0.156,0.199,0.045
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.226,0.044,0.097,0.036,0.327,0.245,0.09,0.034
