"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.627,0.733,0.494,0.503,0.592,0.558,0.253,0.549,0.26,0.233
"P05","Bastante",0.237,0.17,0.367,0.327,0.216,0.225,0.157,0.166,0.365,0.27
"P05","Poco",0.084,0.066,0.115,0.134,0.109,0.096,0.44,0.14,0.228,0.251
"P05","Nada",0.044,0.006,0.02,0.02,0.057,0.099,0.15,0.09,0.121,0.11
"P05","No sabe",0.008,0.025,0.004,0.016,0.026,0.022,0,0.055,0.026,0.136
"P06","Siempre",0.29,0.239,0.272,0.272,0.349,0.315,0.155,0.258,0.179,0.186
"P06","Casi siempre",0.366,0.426,0.463,0.384,0.291,0.304,0.216,0.211,0.182,0.261
"P06","Casi nunca",0.278,0.262,0.221,0.272,0.233,0.281,0.569,0.329,0.375,0.342
"P06","Nunca, pero esta es una excepción",0.066,0.073,0.044,0.072,0.127,0.1,0.06,0.202,0.264,0.211
"P08","Unión por la Patria",0.772,0.759,0.073,0.087,0.175,0.038,0.12,0.032,0.073,0.071
"P08","Juntos por el Cambio",0.161,0.151,0.85,0.834,0.071,0.013,0.227,0.047,0.047,0.096
"P08","Liberales",0.01,0.015,0.038,0.012,0.613,0.04,0.022,0.027,0.017,0.017
"P08","Izquierda",0.014,0.036,0.009,0.012,0.007,0.76,0.175,0.16,0.103,0.011
"P08","Otro",0.009,0.01,0.007,0.02,0.035,0.107,0.221,0.499,0.146,0.006
"P08","No sabe",0.034,0.029,0.023,0.035,0.099,0.042,0.235,0.235,0.614,0.799
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.684,0.722,0.034,0.063,0.099,0.133,0.175,0.12,0,0.066
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.076,0.047,0.642,0.317,0.167,0,0.189,0.077,0.201,0.109
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.128,0.108,0.197,0.444,0.121,0.191,0.111,0.047,0.138,0.206
"P12","Ramiro Marra por la Libertad Avanza",0.05,0.018,0.076,0.025,0.438,0.019,0,0,0,0
"P12","Vanina Biasi por el Frente de Izquierda",0.013,0.074,0.001,0.094,0.094,0.378,0.034,0.028,0,0
"P12","Otros",0.008,0.008,0.026,0.01,0.03,0.242,0.109,0.329,0.078,0.01
"P12","En blanco",0.011,0.023,0.011,0.023,0.037,0,0.246,0.018,0.452,0.01
"P12","No sabe",0.03,0,0.013,0.024,0.014,0.037,0.136,0.381,0.131,0.599
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.475,0.494,0.021,0.126,0.094,0.113,0.157,0,0.109,0.05
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.361,0.257,0.029,0.019,0.045,0.163,0,0.053,0,0.015
