"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.653,0.504,0.468,0.649,0.633,0.614,0.54,0.451
"P05","Bastante",0.237,0.355,0.349,0.195,0.189,0.225,0.246,0.187
"P05","Poco",0.065,0.112,0.129,0.096,0.089,0.12,0.159,0.237
"P05","Nada",0.035,0.015,0.039,0.049,0.083,0.041,0.044,0.052
"P05","No sabe",0.01,0.014,0.015,0.011,0.006,0,0.011,0.073
"P06","Siempre",0.265,0.309,0.254,0.295,0.453,0.285,0.284,0.245
"P06","Casi siempre",0.4,0.428,0.392,0.339,0.316,0.324,0.232,0.223
"P06","Casi nunca",0.262,0.22,0.312,0.265,0.178,0.322,0.39,0.288
"P06","Nunca, pero esta es una excepción",0.073,0.043,0.042,0.101,0.053,0.069,0.094,0.244
"P08","Unión por la Patria",0.778,0.119,0.161,0.127,0.275,0.114,0.111,0.092
"P08","Juntos por el Cambio",0.122,0.756,0.636,0.242,0.251,0.233,0.196,0.146
"P08","Liberales",0.018,0.077,0.083,0.564,0.153,0.121,0.119,0.038
"P08","Izquierda",0.033,0.01,0.017,0.024,0.233,0.191,0.078,0.132
"P08","Otro",0.016,0.017,0.029,0.011,0.047,0.167,0.102,0.093
"P08","No sabe",0.033,0.021,0.074,0.032,0.041,0.174,0.394,0.499
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.556,0.055,0.138,0.098,0.052,0.045,0.082,0.129
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.265,0.015,0.053,0.015,0.14,0.022,0.078,0
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.038,0.645,0.296,0.208,0.006,0.217,0.117,0.079
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.036,0.158,0.33,0.034,0.271,0.04,0.12,0.071
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.06,0.09,0.097,0.64,0.293,0.136,0.206,0.045
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.014,0,0.028,0.005,0.213,0.197,0,0.021
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.01,0.009,0.008,0,0.01,0.044,0.125,0.039
"P09","Otros",0.013,0.007,0.007,0,0.015,0.256,0.017,0.21
"P09","En blanco",0,0.01,0.011,0,0,0.034,0.244,0.04
"P09","No sabe",0.008,0.011,0.032,0,0,0.009,0.011,0.366
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.458,0.054,0.136,0.072,0.299,0.084,0.102,0.091
