"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.206,0.193,0.217,0.2,0.206,0.228,0.191,0.194,0.198,0.216,0.475,0.05,0.151
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.09,0.086,0.093,0.089,0.121,0.075,0.052,0.049,0.07,0.118,0.208,0.016,0.08
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.28,0.294,0.268,0.146,0.212,0.404,0.406,0.213,0.278,0.305,0.073,0.509,0.196
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.136,0.12,0.149,0.11,0.147,0.116,0.164,0.093,0.164,0.132,0.043,0.208,0.188
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.15,0.183,0.122,0.258,0.162,0.094,0.076,0.257,0.147,0.114,0.097,0.158,0.212
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.021,0.035,0.04,0.044,0.009,0.01,0.038,0.019,0.032,0.026,0.004,0.063
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.012,0.017,0.008,0.015,0.012,0.022,0.012,0.026,0.008,0.017,0.005,0.046
"Otros",0.031,0.038,0.025,0.05,0.034,0.016,0.022,0.033,0.022,0.036,0.028,0.012,0.023
"En blanco",0.023,0.021,0.026,0.048,0.013,0.021,0.019,0.044,0.024,0.016,0.016,0.009,0.006
"No sabe",0.041,0.032,0.048,0.051,0.046,0.025,0.038,0.067,0.052,0.023,0.017,0.029,0.035
