"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.632,0.453,0.472,0.319
"P05","Bastante",0.242,0.4,0.289,0.312
"P05","Poco",0.084,0.103,0.213,0.164
"P05","Nada",0.032,0.028,0.012,0.104
"P05","No sabe",0.01,0.016,0.014,0.101
"P06","Siempre",0.329,0.16,0.188,0.294
"P06","Casi siempre",0.382,0.476,0.39,0.206
"P06","Casi nunca",0.221,0.292,0.366,0.342
"P06","Nunca, pero esta es una excepción",0.068,0.072,0.056,0.158
"P08","Unión por la Patria",0.339,0.297,0.179,0.216
"P08","Juntos por el Cambio",0.454,0.47,0.416,0.236
"P08","Liberales",0.128,0.086,0.149,0.019
"P08","Izquierda",0.028,0.063,0.017,0.048
"P08","Otro",0.028,0.017,0.077,0.073
"P08","No sabe",0.023,0.067,0.162,0.408
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.224,0.165,0.192,0.146
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.092,0.151,0.043,0.048
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.325,0.263,0.254,0.106
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.123,0.205,0.214,0.087
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.171,0.131,0.107,0.136
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.038,0.034,0.042
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.01,0.022,0.03,0.056
"P09","Otros",0.02,0.003,0.056,0.088
"P09","En blanco",0.004,0,0.029,0.062
"P09","No sabe",0.01,0.022,0.041,0.229
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.282,0.28,0.112,0.134
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.315,0.237,0.259,0.216
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.168,0.271,0.291,0.191
"P12","Ramiro Marra por la Libertad Avanza",0.124,0.056,0.089,0.07
"P12","Vanina Biasi por el Frente de Izquierda",0.045,0.053,0.062,0.097
"P12","Otros",0.027,0.04,0.032,0.046
"P12","En blanco",0.021,0.027,0.054,0.051
"P12","No sabe",0.018,0.036,0.101,0.195
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.2,0.211,0.173,0.127
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.119,0.145,0.086,0.108
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.292,0.287,0.222,0.115
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.155,0.177,0.196,0.121
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.139,0.074,0.181,0.131
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.026,0.021,0.047
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.011,0.03,0.013,0.03
"P18","Otros",0.022,0.037,0.061,0.109
"P18","En blanco",0.022,0.006,0.016,0.016
"P18","No sabe",0.023,0.007,0.031,0.196
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.22,0.204,0.174,0.186
