"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.674,0.514,0.607,0.49,0.42,0.561,0.441,0.463
"P05","Bastante",0.226,0.357,0.225,0.239,0.264,0.243,0.309,0.291
"P05","Poco",0.062,0.096,0.105,0.109,0.188,0.139,0.091,0.165
"P05","Nada",0.027,0.028,0.027,0.092,0.128,0.046,0.038,0.043
"P05","No sabe",0.011,0.005,0.036,0.07,0,0.011,0.121,0.038
"P06","Siempre",0.264,0.301,0.328,0.211,0.214,0.227,0.417,0.282
"P06","Casi siempre",0.404,0.442,0.347,0.362,0.315,0.343,0.366,0.287
"P06","Casi nunca",0.264,0.216,0.246,0.326,0.395,0.259,0.152,0.314
"P06","Nunca, pero esta es una excepción",0.068,0.041,0.079,0.101,0.076,0.171,0.065,0.117
"P08","Unión por la Patria",0.776,0.08,0.133,0.315,0.039,0.238,0.058,0.163
"P08","Juntos por el Cambio",0.16,0.839,0.121,0.096,0.313,0.419,0.284,0.331
"P08","Liberales",0.008,0.042,0.677,0,0.069,0.01,0.148,0.037
"P08","Izquierda",0.017,0.003,0.003,0.486,0.177,0.056,0.039,0
"P08","Otro",0.013,0.016,0.016,0.087,0.239,0.102,0.148,0.025
"P08","No sabe",0.026,0.02,0.05,0.016,0.163,0.175,0.323,0.444
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.635,0.016,0.017,0.123,0.031,0.059,0,0.091
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.225,0.013,0.031,0.247,0.008,0.151,0.039,0.032
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.03,0.708,0.093,0.047,0.02,0.014,0.068,0.041
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.046,0.193,0.019,0.023,0.289,0.431,0.248,0.365
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.029,0.043,0.832,0.007,0.127,0.018,0.122,0.144
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.009,0,0.444,0.042,0.024,0.027,0
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.002,0.007,0,0.041,0.337,0.017,0.034,0
"P09","Otros",0.013,0,0.008,0.068,0.092,0.139,0.148,0.036
"P09","En blanco",0,0.001,0,0,0.025,0.042,0.3,0.013
"P09","No sabe",0.008,0.01,0,0,0.029,0.105,0.014,0.278
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.695,0.042,0.044,0.336,0.172,0.218,0.041,0.092
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.061,0.561,0.212,0.017,0.188,0.144,0.232,0.167
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.133,0.259,0.147,0.057,0.273,0.257,0.216,0.263
"P12","Ramiro Marra por la Libertad Avanza",0.032,0.064,0.487,0.008,0,0.016,0.025,0.123
"P12","Vanina Biasi por el Frente de Izquierda",0.038,0.028,0.047,0.337,0.088,0.06,0.029,0.056
"P12","Otros",0.007,0.015,0.043,0.119,0.106,0.105,0.029,0.022
"P12","En blanco",0.01,0.017,0.002,0.03,0.067,0.035,0.414,0.085
"P12","No sabe",0.024,0.014,0.018,0.096,0.106,0.165,0.014,0.192
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.532,0.038,0.058,0.085,0.06,0.096,0.078,0.143
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.284,0.044,0.016,0.342,0.037,0.112,0.012,0.093
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.459,0.444,0.092,0.127,0.21,0.084,0.055
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.054,0.255,0.075,0.029,0.311,0.217,0.134,0.231
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.019,0.159,0.369,0.042,0.082,0.06,0.057,0.075
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.019,0,0.006,0.218,0.087,0.087,0.039,0.025
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.003,0.012,0.063,0.177,0,0.053,0.073
"P18","Otros",0.019,0.008,0.009,0.063,0.018,0.212,0.156,0.023
"P18","En blanco",0.004,0.012,0.011,0.037,0.045,0,0.372,0
"P18","No sabe",0.009,0.022,0,0.029,0.056,0.006,0.015,0.282
