"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.666,0.514,0.622,0.527,0.538,0.532,0.514
"P05","Bastante",0.256,0.355,0.22,0.212,0.18,0.374,0.274
"P05","Poco",0.049,0.103,0.096,0.079,0.179,0.072,0.118
"P05","Nada",0.02,0.017,0.048,0.141,0.091,0.022,0.044
"P05","No sabe",0.009,0.011,0.014,0.041,0.012,0,0.05
"P06","Siempre",0.254,0.291,0.387,0.433,0.274,0.096,0.14
"P06","Casi siempre",0.445,0.437,0.359,0.234,0.406,0.406,0.351
"P06","Casi nunca",0.252,0.249,0.167,0.132,0.219,0.395,0.417
"P06","Nunca, pero esta es una excepción",0.049,0.023,0.087,0.201,0.101,0.103,0.092
"P08","Unión por la Patria",0.78,0.084,0.167,0.137,0.185,0.139,0.048
"P08","Juntos por el Cambio",0.149,0.808,0.257,0.063,0.382,0.299,0.481
"P08","Liberales",0.01,0.055,0.524,0.059,0.173,0.101,0.129
"P08","Izquierda",0.031,0.001,0.002,0.629,0.057,0.035,0.014
"P08","Otro",0.005,0.029,0.031,0.087,0.058,0.063,0.016
"P08","No sabe",0.025,0.023,0.019,0.025,0.145,0.363,0.312
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.579,0.013,0.056,0.11,0.146,0.128,0.157
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.279,0.007,0.027,0.078,0.038,0,0.007
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.62,0.223,0.069,0.18,0.225,0.156
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.047,0.258,0.023,0.025,0.236,0.111,0.169
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.058,0.644,0.052,0.212,0.207,0.199
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.007,0.005,0.434,0.054,0.024,0.016
