"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.67,0.514,0.576,0.483
"P05","Bastante",0.209,0.366,0.255,0.335
"P05","Poco",0.081,0.1,0.124,0.109
"P05","Nada",0.025,0.012,0.031,0.05
"P05","No sabe",0.015,0.008,0.014,0.023
"P06","Siempre",0.275,0.272,0.273,0.294
"P06","Casi siempre",0.401,0.469,0.382,0.385
"P06","Casi nunca",0.259,0.225,0.259,0.235
"P06","Nunca, pero esta es una excepción",0.065,0.034,0.086,0.086
"P08","Unión por la Patria",0.721,0.076,0.123,0.063
"P08","Juntos por el Cambio",0.167,0.791,0.321,0.411
"P08","Liberales",0.042,0.078,0.364,0.216
"P08","Izquierda",0.027,0.009,0.072,0.046
"P08","Otro",0.021,0.016,0.048,0.023
"P08","No sabe",0.022,0.03,0.072,0.241
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.558,0.01,0.052,0.04
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.225,0.012,0.053,0.045
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.572,0.325,0.331
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.049,0.28,0.007,0.089
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.092,0.406,0.263
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.002,0.083,0.038
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.008,0.026,0.058
"P09","Otros",0.015,0.007,0.022,0.021
"P09","En blanco",0.006,0.002,0.019,0
"P09","No sabe",0.004,0.015,0.007,0.115
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.621,0.036,0.078,0.106
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.087,0.508,0.267,0.316
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.134,0.297,0.122,0.209
"P12","Ramiro Marra por la Libertad Avanza",0.056,0.066,0.348,0.103
"P12","Vanina Biasi por el Frente de Izquierda",0.049,0.043,0.05,0.047
