"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.578,0.448,0.512
"P05","Bastante",0.287,0.265,0.103
"P05","Poco",0.088,0.21,0.276
"P05","Nada",0.034,0.027,0.065
"P05","No sabe",0.013,0.05,0.044
"P06","Siempre",0.28,0.3,0.327
"P06","Casi siempre",0.407,0.271,0.183
"P06","Casi nunca",0.248,0.349,0.262
"P06","Nunca, pero esta es una excepción",0.065,0.08,0.228
"P08","Unión por la Patria",0.322,0.254,0.193
"P08","Juntos por el Cambio",0.448,0.355,0.336
"P08","Liberales",0.12,0.052,0.129
"P08","Izquierda",0.032,0.073,0.045
"P08","Otro",0.027,0.074,0.089
"P08","No sabe",0.051,0.192,0.208
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.211,0.169,0.13
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.097,0.06,0.093
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.306,0.222,0.177
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.148,0.142,0.007
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.155,0.17,0.225
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.078,0.056
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.015,0.023,0.056
"P09","Otros",0.022,0.004,0.077
"P09","En blanco",0.006,0.033,0.053
"P09","No sabe",0.019,0.099,0.126
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.274,0.147,0.082
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.292,0.313,0.181
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.203,0.15,0.196
"P12","Ramiro Marra por la Libertad Avanza",0.102,0.106,0.202
"P12","Vanina Biasi por el Frente de Izquierda",0.048,0.063,0.075
"P12","Otros",0.028,0.079,0.012
"P12","En blanco",0.02,0.091,0.102
"P12","No sabe",0.033,0.051,0.15
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.197,0.168,0.165
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.119,0.137,0.108
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.283,0.286,0.128
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.162,0.133,0.141
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.135,0.057,0.171
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.054,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.039,0.035
"P18","Otros",0.026,0.075,0.115
"P18","En blanco",0.018,0.004,0.052
"P18","No sabe",0.027,0.047,0.085
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.218,0.142,0.17
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.239,0.223,0.201
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.224,0.2,0.239
"P21","Ramiro Marra por la Libertad Avanza",0.107,0.049,0.082
"P21","Vanina Biasi por el Frente de Izquierda",0.062,0.104,0.017
"P21","Otros",0.051,0.148,0.084
"P21","En blanco",0.044,0.066,0.04
"P21","No sabe",0.055,0.068,0.167
"P25","Totalmente seguro",0.726,0.315,0.208
"P25","Bastante seguro",0.164,0.396,0.103
"P25","Algo seguro",0.063,0.108,0.429
"P25","Para nada seguro",0.047,0.181,0.26
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.303,0.208,0.292
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.367,0.235
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.143,0.07,0.165
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.058,0.046
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.026,0.081,0.012
"P27","Otros",0.041,0.088,0.055
"P27","En blanco",0.016,0.026,0.066
"P27","No sabe",0.037,0.102,0.129
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.303,0.334,0.277
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.351,0.321,0.22
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.201,0.09,0.245
