"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.614,0.642,0.587,0.626,0.636,0.606,0.555,0.501,0.601,0.768,0.678,0.614,0.608,0.597,0.523,0.61,0.658,0.587,0.486,0.754
"No",0.386,0.358,0.413,0.374,0.364,0.394,0.445,0.499,0.399,0.232,0.322,0.386,0.392,0.403,0.477,0.39,0.342,0.413,0.514,0.246
