"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"Totalmente seguro",0.638,0.658,0.619,0.613,0.61,0.669,0.7,0.64,0.593,0.675,0.684,0.654,0.506,0.44,0.745
"Bastante seguro",0.174,0.173,0.175,0.17,0.181,0.192,0.137,0.179,0.168,0.176,0.164,0.201,0.23,0.233,0.077
"Algo seguro",0.106,0.071,0.14,0.147,0.09,0.098,0.099,0.09,0.14,0.086,0.105,0.096,0.091,0.172,0.103
"Para nada seguro",0.082,0.098,0.066,0.07,0.119,0.041,0.064,0.091,0.099,0.063,0.047,0.049,0.173,0.155,0.075
