"var","categoria","Si","No"
"P06","Siempre",0.309,0.129
"P06","Casi siempre",0.42,0.301
"P06","Casi nunca",0.226,0.425
"P06","Nunca, pero esta es una excepción",0.045,0.145
"P08","Unión por la Patria",0.361,0.247
"P08","Juntos por el Cambio",0.385,0.379
"P08","De los Liberales libertarios",0.077,0.098
"P08","De la Izquierda",0.028,0.035
"P08","Hacemos por nuestro país",0.052,0.07
"P08","Otro",0.027,0.026
"P08","En blanco",0.03,0.038
"P08","No sabe",0.04,0.107
"P10","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.438,0.34
"P10","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.431,0.413
"P10","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.03,0.039
"P10","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.019,0.035
"P10","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.004,0.013
"P10","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.009,0.02
"P10","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.012,0.007
"P10","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.023,0.044
"P10","A los candidatos de otros partidos políticos",0.006,0.023
"P10","No sabe",0.028,0.066
"P12","Totalmente seguro",0.693,0.587
"P12","Bastante seguro",0.162,0.181
"P12","Algo seguro",0.099,0.12
"P12","Para nada seguro",0.046,0.112
"P13","Tiene Decidido que va a ir a votar",0.967,0.881
"P13","Tiene dudas sobre si va a ir a  votar",0.033,0.119
