"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar"
"P06","Siempre",0.227,0.078
"P06","Casi siempre",0.37,0.301
"P06","Casi nunca",0.311,0.499
"P06","Nunca, pero esta es una excepción",0.092,0.122
"P08","Unión por la Patria",0.31,0.207
"P08","Juntos por el Cambio",0.389,0.305
"P08","De los Liberales libertarios",0.081,0.189
"P08","De la Izquierda",0.032,0.017
"P08","Hacemos por nuestro país",0.067,0.022
"P08","Otro",0.025,0.052
"P08","En blanco",0.029,0.103
"P08","No sabe",0.067,0.105
"P10","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.407,0.241
"P10","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.425,0.348
"P10","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.039,0
"P10","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.022,0.073
"P10","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.009,0
"P10","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.011,0.043
"P10","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.01,0.005
"P10","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.033,0.032
"P10","A los candidatos de otros partidos políticos",0.012,0.059
"P10","No sabe",0.032,0.199
"P12","Totalmente seguro",0.676,0.235
"P12","Bastante seguro",0.154,0.404
"P12","Algo seguro",0.105,0.106
"P12","Para nada seguro",0.065,0.255
"P14","Si",0.512,0.209
"P14","No",0.488,0.791
