"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"Siempre",0.193,0.21,0.179,0.161,0.165,0.224,0.279,0.231,0.176,0.188,0.255,0.178,0.148,0.131,0.179
"Casi siempre",0.332,0.34,0.324,0.246,0.349,0.412,0.337,0.296,0.289,0.394,0.304,0.463,0.264,0.394,0.29
"Casi nunca",0.345,0.328,0.359,0.398,0.375,0.28,0.259,0.335,0.387,0.31,0.337,0.275,0.561,0.164,0.312
"Nunca, pero esta es una excepción",0.13,0.122,0.138,0.195,0.111,0.084,0.125,0.138,0.148,0.108,0.104,0.084,0.027,0.311,0.219
