"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar"
"P10_imputadas","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.426,0.262
"P10_imputadas","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.436,0.452
"P10_imputadas","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.039,0.038
"P10_imputadas","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.023,0.073
"P10_imputadas","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.009,0.008
"P10_imputadas","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.011,0.043
"P10_imputadas","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.01,0.006
"P10_imputadas","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.034,0.045
"P10_imputadas","A los candidatos de otros partidos políticos",0.012,0.073
