"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"Tiene Decidido que va a ir a votar",0.922,0.915,0.928,0.932,0.912,0.932,0.916,0.923,0.9,0.939,0.966,0.928,0.883,0.915,0.899
"Tiene dudas sobre si va a ir a  votar",0.078,0.085,0.072,0.068,0.088,0.068,0.084,0.077,0.1,0.061,0.034,0.072,0.117,0.085,0.101
