"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.591,0.535,0.205,0.521,0.4,0.291,0.025,0.314,0.577,0.735
"P09","Diego Santilli",0.135,0.13,0.32,0.108,0.181,0.286,0,0.217,0.107,0.12
"P09","Facundo Manes",0.047,0.119,0.114,0.191,0.033,0.066,0,0.006,0.037,0.051
"P09","Florencio Randazzo",0.039,0.013,0.038,0.024,0.172,0.051,0,0.059,0.1,0
"P09","A la izquierda",0.021,0.028,0.007,0,0.037,0.022,0,0,0.008,0.014
"P09","Jose Luis Espert",0.023,0.033,0.109,0.038,0,0.145,0.77,0,0.05,0
"P09","Otros candidatos",0.055,0.053,0.055,0,0.097,0.072,0,0.208,0,0
"P09","Votaría en blanco o anularía",0.089,0.089,0.152,0.118,0.08,0.067,0.205,0.196,0.121,0.08
