"","Si","Puede ser","No"
"Toloza Paz",0.433,0.154,0.046
"Diego Santilli",0.203,0.228,0.148
"Facundo Manes",0.08,0.047,0.129
"Florencio Randazzo",0.051,0.022,0.143
"A la izquierda",0.012,0.031,0.052
"Jose Luis Espert",0.071,0.075,0.048
"Otros candidatos",0.079,0.138,0.065
"Votaría en blanco o anularía",0.071,0.305,0.369
