"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.13,0.681,0.294,0.127,0.179,0.391,0.263
"P09","Diego Santilli",0.427,0.098,0.062,0.134,0.196,0.114,0.115
"P09","Facundo Manes",0.109,0.029,0.166,0,0,0.146,0.108
"P09","Florencio Randazzo",0.044,0.024,0.067,0.105,0,0.03,0.092
"P09","A la izquierda",0.01,0.007,0.075,0,0.029,0.009,0.007
"P09","Jose Luis Espert",0.141,0.029,0,0.123,0.482,0.024,0.124
"P09","Otros candidatos",0.062,0.012,0.119,0.511,0,0.184,0.018
"P09","Votaría en blanco o anularía",0.077,0.12,0.217,0,0.114,0.102,0.273
