"","Si","Puede ser","No"
"Toloza Paz",0.454,0.146,0.045
"Diego Santilli",0.204,0.228,0.161
"Facundo Manes",0.082,0.051,0.136
"Florencio Randazzo",0.049,0.026,0.174
"A la izquierda",0.011,0.058,0.026
"Jose Luis Espert",0.059,0.086,0.088
"Otros candidatos",0.074,0.147,0.053
"Votaría en blanco o anularía",0.067,0.258,0.317
