"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.937,0.8,0.8,0.75,0.555,0.81,0.735,0.458
"Puede ser",0.054,0.145,0.076,0.052,0.222,0.138,0.207,0.317
"No",0.009,0.055,0.124,0.198,0.223,0.052,0.058,0.225
