"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P06","Julio Zamora",0.209,0.354,0.622,0.26
"P06","Segundo Cernadas",0.509,0.242,0.074,0.155
"P06","Otro candidato",0.183,0.207,0.125,0.079
"P06","En blanco",0.037,0.069,0.093,0.147
"P06","No sabe",0.062,0.128,0.086,0.359
"P07","Victoria Tolosa Paz para diputada nacional y Gisela Zamora para concejal por el frente de todos",0.11,0.179,0.564,0.093
"P07","Santilli para diputado nacional y Segundo cernadas para concejal por Juntos",0.633,0.385,0.073,0.303
"P07","Manes para diputado nacional y Nicolas massot para concejal por juntos",0.09,0.087,0.072,0.059
"P07","Espert para diputado nacional y Juan José Cervetto para concejal por avanza libertad",0.043,0.066,0.053,0.121
"P07","Espert para diputado nacional y Martin Liserre Moreno para concejal por Republicanos unidos",0.014,0.052,0.025,0.016
"P07","Randazzo para diputado nacional y Matias Orfo para concejal por Vamos con vos",0.003,0.017,0.024,0
"P07","Randazzo para diputado nacional y Oscar Hurtado para concejal por vamos con vos",0,0.002,0.004,0
"P07","Guillermo Moreno para diputado nacional y Andrés “Pichon” Flores para concejal por principios y valores",0.038,0.031,0.038,0.12
"P07","A los candidatos de la izquierda",0.031,0.01,0.015,0
"P07","En blanco o anularía",0.026,0.12,0.075,0.263
"P07","Cortaría Boleta",0.012,0.051,0.057,0.025
"P08","Victoria Tolosa Paz por el frente de todos",0.704,0.013,0.494,0
"P08","Santilli dentro de la interna de Juntos",0,0.025,0.004,0
"P08","Manes dentro de la interna de juntos",0,0.026,0.056,0
"P08","Espert por avanza libertad",0,0,0.008,0
"P08","Randazzo por Vamos con vos",0.296,0.013,0.004,0
"P08","Guillermo Moreno por principios y valores",0,0.013,0.009,0
"P08","A los candidatos de la izquierda",0,0,0.09,0
"P08","En blanco o anularía",0,0.91,0.335,1
"P09","Gisela Zamora por el frente de todos",0.704,0.546,0.482,0.5
"P09","Segundo cernadas dentro de la interna Juntos",0,0.013,0.217,0
"P09","Nicolas massot dentro de la interna por juntos",0,0.025,0.004,0
"P09","Juan José Cervetto dentro de la interna de avanza libertad",0,0,0.004,0
"P09","Martin Liserre Moreno por Republicanos unidos dentro de la interna de Avanza libertad",0.296,0,0.004,0
"P09","Matias Orfo dentro de la interna de vamos con vos",0,0,0.008,0
"P09","Oscar Hurtado dentro de la interna de vamos con vos",0,0,0.085,0
"P09","Andrés “Pichon” Flores por principios y valores",0,0.013,0.008,0
"P09","A los candidatos de la izquierda",0,0,0.013,0
"P09","En blanco o anularía",0,0.403,0.175,0.5
"P10","Si",0.824,0.703,0.785,0.597
"P10","Puede ser",0.065,0.181,0.091,0.327
"P10","No",0.111,0.116,0.124,0.076
"P11","Si",0.904,0.836,0.812,0.653
"P11","No",0.096,0.164,0.188,0.347
"P12","Positiva",0.193,0.237,0.574,0.265
"P12","Neutra",0.024,0.135,0.12,0.344
"P12","Negativa",0.771,0.624,0.293,0.085
"P12","No sabe",0.012,0.004,0.013,0.306
"P13","Positiva",0.181,0.146,0.558,0.195
"P13","Neutra",0.034,0.122,0.092,0.171
"P13","Negativa",0.779,0.696,0.33,0.076
"P13","No sabe",0.006,0.036,0.02,0.558
"P15","Positiva",0.845,0.604,0.209,0.12
"P15","Neutra",0.053,0.278,0.198,0.311
"P15","Negativa",0.077,0.07,0.554,0.071
"P15","No sabe",0.025,0.048,0.039,0.498
