"var","categoria","Victoria Tolosa Paz para diputada nacional y Gisela Zamora para concejal por el frente de todos","Santilli para diputado nacional y Segundo cernadas para concejal por Juntos","Manes para diputado nacional y Nicolas massot para concejal por juntos","Espert para diputado nacional y Juan José Cervetto para concejal por avanza libertad","Espert para diputado nacional y Martin Liserre Moreno para concejal por Republicanos unidos","Randazzo para diputado nacional y Matias Orfo para concejal por Vamos con vos","Randazzo para diputado nacional y Oscar Hurtado para concejal por vamos con vos","Guillermo Moreno para diputado nacional y Andrés “Pichon” Flores para concejal por principios y valores","A los candidatos de la izquierda","En blanco o anularía","Cortaría Boleta"
"P06","Julio Zamora",0.809,0.177,0.339,0.31,0.421,0.628,0.113,0.208,0.205,0.272,0.405
"P06","Segundo Cernadas",0.031,0.525,0.246,0.252,0.086,0.083,0.084,0.165,0.185,0.016,0.109
"P06","Otro candidato",0.063,0.192,0.274,0.24,0.223,0.166,0.574,0.273,0.457,0.146,0.193
"P06","En blanco",0.044,0.042,0.04,0.094,0.098,0.042,0.229,0.245,0.036,0.192,0.148
"P06","No sabe",0.053,0.064,0.101,0.104,0.172,0.081,0,0.109,0.117,0.374,0.145
"P10","Si",0.84,0.851,0.811,0.914,0.779,0.806,0.533,0.656,0.535,0.256,0.541
"P10","Puede ser",0.095,0.108,0.088,0.017,0.112,0,0,0.042,0.076,0.295,0.223
"P10","No",0.065,0.041,0.101,0.069,0.109,0.194,0.467,0.302,0.389,0.449,0.236
"P11","Si",0.877,0.88,0.845,0.848,0.787,0.941,0.837,0.707,0.624,0.682,0.635
"P11","No",0.123,0.12,0.155,0.152,0.213,0.059,0.163,0.293,0.376,0.318,0.365
"P12","Muy buena",0.557,0.07,0.094,0,0.14,0.017,0.468,0.333,0.245,0.11,0.357
"P12","Buena",0.29,0.013,0.064,0,0,0,0.184,0.092,0.117,0.059,0.09
"P12","Ni buena ni mala",0.111,0.065,0.075,0.051,0.194,0.335,0.093,0.026,0.254,0.296,0.041
"P12","Mala",0.029,0.102,0.165,0.126,0,0.372,0.093,0.226,0.035,0.168,0.187
"P12","Muy mala",0.013,0.718,0.602,0.788,0.65,0.276,0.162,0.323,0.349,0.299,0.277
"P12","No sabe",0,0.032,0,0.035,0.016,0,0,0,0,0.068,0.048
"P13","Muy buena",0.663,0.027,0.062,0.063,0.14,0.134,0.651,0.254,0.343,0.109,0.366
"P13","Buena",0.148,0.006,0.004,0.009,0,0,0,0.069,0.078,0.004,0.122
"P13","Ni buena ni mala",0.087,0.047,0.033,0.09,0.034,0.043,0.093,0.197,0.152,0.278,0.043
"P13","Mala",0.03,0.057,0.152,0.109,0.022,0.418,0,0.141,0.097,0.116,0.082
"P13","Muy mala",0.042,0.839,0.741,0.671,0.706,0.405,0.256,0.252,0.33,0.398,0.378
"P13","No sabe",0.03,0.024,0.008,0.058,0.098,0,0,0.087,0,0.095,0.009
"P14","Muy buena",0.051,0.285,0.152,0.098,0,0.043,0,0.187,0.257,0.042,0.037
"P14","Buena",0.017,0.231,0.102,0.073,0.109,0,0,0.032,0.143,0.032,0.021
"P14","Ni buena ni mala",0.109,0.312,0.244,0.266,0.408,0.219,0.165,0.178,0.125,0.337,0.254
"P14","Mala",0.17,0.086,0.222,0.102,0.261,0.206,0.65,0.104,0.082,0.083,0.223
"P14","Muy mala",0.646,0.055,0.259,0.399,0.207,0.532,0.185,0.411,0.393,0.412,0.449
"P14","No sabe",0.007,0.031,0.021,0.062,0.015,0,0,0.088,0,0.094,0.016
"P15","Muy buena",0.042,0.478,0.343,0.222,0.192,0.079,0,0.355,0.445,0.095,0.101
"P15","Buena",0.139,0.308,0.346,0.305,0.108,0.209,0.35,0.045,0.096,0.153,0.148
"P15","Ni buena ni mala",0.185,0.112,0.145,0.257,0.355,0.234,0.186,0.269,0.088,0.334,0.24
"P15","Mala",0.17,0.027,0.065,0.041,0.125,0,0.464,0.037,0,0.035,0.212
"P15","Muy mala",0.416,0.045,0.101,0.175,0.135,0.478,0,0.207,0.371,0.181,0.226
"P15","No sabe",0.048,0.03,0,0,0.085,0,0,0.087,0,0.202,0.073
