"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Muy buena",0.227,0.234,0.219,0.198,0.218,0.248,0.269,0.299,0.15,0.257,0.1,0.455,0.162
"Horacio Rodriguez Larreta","Buena",0.209,0.169,0.248,0.291,0.166,0.214,0.205,0.148,0.242,0.234,0.116,0.339,0.335
"Horacio Rodriguez Larreta","Ni buena ni mala",0.187,0.189,0.184,0.178,0.214,0.156,0.159,0.192,0.196,0.163,0.204,0.117,0.253
"Horacio Rodriguez Larreta","Mala",0.095,0.099,0.092,0.077,0.075,0.113,0.164,0.082,0.114,0.082,0.139,0.03,0.029
"Horacio Rodriguez Larreta","Muy mala",0.232,0.272,0.194,0.188,0.281,0.22,0.167,0.2,0.249,0.247,0.378,0.033,0.168
"Horacio Rodriguez Larreta","No sabe",0.05,0.037,0.063,0.068,0.046,0.049,0.036,0.079,0.049,0.017,0.063,0.026,0.053
"Alberto Fernandez","Muy buena",0.276,0.239,0.313,0.183,0.328,0.261,0.287,0.33,0.283,0.199,0.491,0.053,0.045
"Alberto Fernandez","Buena",0.129,0.128,0.129,0.123,0.132,0.129,0.127,0.11,0.141,0.133,0.233,0.01,0.098
"Alberto Fernandez","Ni buena ni mala",0.109,0.104,0.113,0.154,0.094,0.112,0.076,0.087,0.136,0.094,0.118,0.039,0.145
"Alberto Fernandez","Mala",0.096,0.082,0.109,0.108,0.085,0.1,0.105,0.077,0.117,0.086,0.031,0.101,0.349
"Alberto Fernandez","Muy mala",0.371,0.435,0.31,0.382,0.357,0.389,0.373,0.378,0.302,0.472,0.12,0.777,0.363
"Alberto Fernandez","No sabe",0.019,0.012,0.026,0.05,0.004,0.009,0.032,0.018,0.021,0.016,0.007,0.02,0
"CFK","Muy buena",0.305,0.295,0.316,0.232,0.343,0.287,0.334,0.352,0.314,0.234,0.582,0.024,0.005
"CFK","Buena",0.066,0.055,0.077,0.058,0.073,0.062,0.063,0.052,0.074,0.071,0.114,0.004,0.05
"CFK","Ni buena ni mala",0.088,0.093,0.083,0.126,0.077,0.082,0.071,0.074,0.114,0.065,0.101,0.02,0.152
"CFK","Mala",0.072,0.052,0.092,0.095,0.068,0.048,0.091,0.056,0.094,0.059,0.076,0.034,0.169
"CFK","Muy mala",0.433,0.481,0.386,0.418,0.407,0.517,0.404,0.43,0.358,0.552,0.097,0.899,0.592
"CFK","No sabe",0.036,0.024,0.046,0.071,0.032,0.004,0.037,0.036,0.046,0.019,0.03,0.019,0.032
"Mauricio Macri","Muy buena",0.131,0.131,0.131,0.136,0.096,0.162,0.192,0.149,0.108,0.145,0.081,0.257,0.045
"Mauricio Macri","Buena",0.092,0.087,0.096,0.091,0.077,0.086,0.152,0.081,0.058,0.158,0.013,0.256,0.019
"Mauricio Macri","Ni buena ni mala",0.222,0.216,0.228,0.285,0.164,0.266,0.235,0.267,0.216,0.176,0.118,0.304,0.489
"Mauricio Macri","Mala",0.143,0.127,0.158,0.183,0.131,0.148,0.105,0.125,0.153,0.149,0.175,0.089,0.226
"Mauricio Macri","Muy mala",0.384,0.416,0.353,0.261,0.502,0.327,0.292,0.341,0.435,0.357,0.582,0.078,0.221
"Mauricio Macri","No sabe",0.028,0.023,0.034,0.044,0.03,0.011,0.024,0.037,0.03,0.015,0.031,0.016,0
