"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Gisela Zamora por el frente de todos",0.543,0.661,0.451,0.665,0.577,0.115,0.969,0.65,0.401,0.629,0.74,0.532,0.01
"Segundo cernadas dentro de la interna Juntos",0.128,0.008,0.223,0,0.283,0.008,0,0.336,0,0.012,0.004,0.465,0.01
"Nicolas massot dentro de la interna por juntos",0.009,0.017,0.003,0,0,0.036,0.006,0,0.018,0.008,0,0.003,0.09
"Juan José Cervetto dentro de la interna de avanza libertad",0.001,0.002,0,0,0,0.004,0,0,0,0.004,0,0,0
"Martin Liserre Moreno por Republicanos unidos dentro de la interna de Avanza libertad",0.054,0.12,0.002,0,0,0.236,0,0,0.128,0.004,0.109,0,0
"Matias Orfo dentro de la interna de vamos con vos",0.002,0,0.003,0,0.002,0,0.006,0,0,0.008,0.002,0,0
"Oscar Hurtado dentro de la interna de vamos con vos",0.005,0,0.008,0,0.002,0.017,0,0.011,0,0.004,0,0,0.011
"Andrés “Pichon” Flores por principios y valores",0.008,0.017,0.002,0,0.016,0.005,0,0.003,0.016,0.004,0.015,0,0
"A los candidatos de la izquierda",0.003,0.002,0.003,0,0.002,0.004,0.006,0,0,0.012,0.005,0,0
"En blanco o anularía",0.247,0.173,0.305,0.335,0.118,0.575,0.013,0,0.437,0.315,0.125,0,0.879
